,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.018337569528319053,0.04418227211181292,0.011598016233599889,0.022105846748707896
vocab_coverage,0.024152223614605516,0.059231041773348765,0.02410206674784226,0.04305311754020653
ave_readability,0.003076107040735204,0.0035466836140851986,0.0025791055594356384,0.0031922311079090326
ave_readability2,0.0027710614040652964,0.0033795287682829756,0.0010921053089781242,0.0013439980018966396
length,6513301.835,6940694.505,16233490.013,13951109.617
min,0.61456,0.8068189964157706,0.3696266666666666,0.4732955177399621
max,0.0,0.0,0.0,0.0
mean,0.0030761070407351893,0.003546683614085185,0.0025791055594356358,0.003192231107909026
std,0.012562704955549989,0.018143152663355484,0.008895029652245524,0.01218252138475013
q1,0.008373055555555562,0.00804015456989248,0.009806944444444445,0.011093593593593597
median,0.0008077777777777769,0.00042226702508960573,0.00041333333333333266,0.0004215326437548653
q3,7.583333333333305e-05,4.6202956989246985e-05,8.888888888888826e-06,1.3346680013346585e-05
FRE,1868.4335942000002,2320.9553353,2729.7089966,4433.524051100001
SMOGI,26.415239999999997,61.85378000000001,9.466410000000002,11.78764
FKGL,73.18932000000001,59.18826,163.06198,337.30970999999994
CLI,145.9805387,200.2858873,170.9489426,226.5822163
ARI,219.92665999999997,223.08426,385.43723000000006,709.6314199999999
DCRS,10.2064293,9.4360725,17.2681005,22.4479066
LWF,56.808746358307964,56.4255585549628,49.96299802937931,34.80534086219666
GFI,56.13865749999999,31.2654219,136.14415519999997,308.07351880000004
DW,1063.903,1293.141,620.571,738.802
TS,73.696,38.077,165.835,324.872
FH,1070.3802044000001,1208.5059562,1805.0188454,3213.7390643999997
SP,1115.7039180000002,1229.2866849,1843.8034399000003,3218.0365188
GP,444.38662000000005,545.5799554000001,614.0050885,903.4852945999999
CF,5.3488999999999995,8.54011,5.17923,6.8154699999999995
NERF,15.28471641180302,35.71669351802086,47.93347518122269,44.65904175626285
