,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6688393766326717
vocab_coverage,0.7077455711804428
ave_readability,4.917353460683262
ave_readability2,4.89442136619294
length,2328.291
min,3.6292666666666666
max,5.0
mean,4.917353460683262
std,0.20401595952751103
q1,4.940833333333334
median,5.0
q3,5.0
FRE,50.68011
SMOGI,12.2855
FKGL,10.8293
CLI,13.59919
ARI,15.9635
DCRS,8.49189
LWF,11.636352386502386
GFI,10.39637
DW,52.867
TS,10.777
FH,90.48763000000001
SP,87.14823
GP,36.595020000000005
CF,3.337
NERF,5.660333610150933
