,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6630056139749428
vocab_coverage,0.6898901810699754
ave_readability,4.916095190270622
ave_readability2,4.904772659402173
length,1392.241
min,3.8674
max,5.0
mean,4.916095190270622
std,0.19997494266681445
q1,4.937316666666668
median,4.999833333333334
q3,4.999933333333334
FRE,47.9542
SMOGI,11.9005
FKGL,10.7751
CLI,14.58845
ARI,16.550199999999997
DCRS,9.04875
LWF,10.802211971800128
GFI,9.9372
DW,31.917
TS,10.746
FH,89.07927000000001
SP,85.60909
GP,35.12713000000001
CF,3.4188
NERF,4.938689325124226
