,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10518884863570505,0.1799648312340232,0.086381895593136,0.11943167474914461
vocab_coverage,0.12130723287609738,0.21408958060750063,0.12774974048103138,0.17277016016114688
ave_readability,0.03903436392259053,0.04386997116151801,0.041563099724260255,0.046241025255125995
ave_readability2,0.039552071940086496,0.04404586692490193,0.028917051135569506,0.03265123382827633
length,1243.833,1405.247,4447.172,3609.513
min,0.569,0.6967741935483871,0.43473333333333336,0.4967267869071476
max,0.0,0.0,0.0,0.0
mean,0.03903436392259053,0.043869971161517994,0.0415630997242603,0.04624102525512596
std,0.0854851740178641,0.1043243705958571,0.08020252542850191,0.09043997385772856
q1,0.053300000000000014,0.05631720430107527,0.05726666666666667,0.0629759519038076
median,0.004699999999999992,0.0029233870967741893,0.008799999999999992,0.00861723446893787
q3,0.000549999999999999,0.00038642473118279434,0.0016666666666666653,0.0016700066800267187
FRE,25.87793,32.89244,38.45068,47.52524
SMOGI,3.5262,6.29,2.5154,2.923
FKGL,4.575,5.5506,6.7481,8.2021
CLI,7.205679999999999,9.5999,11.123389999999999,13.641440000000001
ARI,8.7275,11.171700000000001,13.8769,16.8355
DCRS,2.10432,2.1217799999999998,4.724609999999999,4.94201
LWF,5.570793091579417,6.203120692147922,4.823300825822149,4.9073594055544
GFI,3.65186,4.145519999999999,4.637639999999999,5.09674
DW,19.856,23.558,18.456,19.752
TS,4.398,4.517,5.742,6.546
FH,19.190160000000002,24.152260000000002,28.72747,35.40639
SP,19.59676,24.477330000000002,29.39191,35.964940000000006
GP,12.504700000000001,16.01782,19.87239,24.29898
CF,1.4206999999999999,1.9212,1.9881999999999997,2.4238999999999997
NERF,2.8949988845152066,4.782030113744171,5.2199416808126085,6.1284216753349465
