,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6820206760292297
vocab_coverage,0.7030002547262499
ave_readability,4.924805089326512
ave_readability2,4.912740607739185
length,1323.731
min,3.8186
max,5.0
mean,4.924805089326512
std,0.19234032262919012
q1,4.954016666666667
median,4.999866666666667
q3,5.0
FRE,54.886199999999995
SMOGI,11.1897
FKGL,9.6165
CLI,13.267610000000001
ARI,15.061200000000001
DCRS,8.63743
LWF,9.67857153989801
GFI,9.20955
DW,28.433
TS,9.922
FH,94.22679000000001
SP,90.79396
GP,37.52397
CF,3.0365
NERF,4.348189283198201
