,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6617370334752711
vocab_coverage,0.6967885451036705
ave_readability,4.917553847683046
ave_readability2,4.898354253104729
length,3517.1
min,3.7766666666666664
max,5.0
mean,4.917553847683046
std,0.19621718450328826
q1,4.939016666666668
median,4.997133333333333
q3,4.999466666666667
FRE,44.95672999999999
SMOGI,12.189200000000001
FKGL,11.4453
CLI,15.314390000000001
ARI,17.606900000000003
DCRS,7.63977
LWF,11.48166910538292
GFI,9.77168
DW,43.892
TS,11.081
FH,86.65023
SP,83.09709
GP,33.64579
CF,3.5721000000000003
NERF,4.20938979717493
