,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6068954653320127
vocab_coverage,0.5944508945771891
ave_readability,4.911904312240819
ave_readability2,4.905905027000288
length,1704.109
min,3.745666666666667
max,5.0
mean,4.911904312240819
std,0.21727075709594823
q1,4.938816666666668
median,4.9993
q3,5.0
FRE,44.11972
SMOGI,11.040799999999999
FKGL,11.2958
CLI,16.247829999999997
ARI,18.739600000000003
DCRS,9.87055
LWF,10.949230453949701
GFI,9.851210000000002
DW,32.226
TS,10.841
FH,86.37711999999999
SP,82.73885
GP,32.008489999999995
CF,3.4983999999999997
NERF,6.319383081741606
