,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6900472025410544
vocab_coverage,0.71857356419644
ave_readability,4.924695736059897
ave_readability2,4.912197898430349
length,1894.843
min,3.861061061061061
max,5.0
mean,4.924695736059898
std,0.18998260542341014
q1,4.953536870203537
median,4.9997997997998
q3,5.0
FRE,49.02911
SMOGI,11.9938
FKGL,11.0397
CLI,14.058349999999999
ARI,16.7822
DCRS,7.87394
LWF,11.606120147907648
GFI,9.80562
DW,31.884
TS,10.887
FH,89.34156
SP,85.69408
GP,35.60147
CF,3.3786
NERF,3.757523382566138
