,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34507167075991874,0.03123183480783321,0.43008094230239774,0.16538817987203283
vocab_coverage,0.414328533088654,0.06818781775954379,0.36339232184006404,0.17855452502827698
ave_readability,0.3358856092976069,0.14517907036435912,0.4641559074621497,0.336160564831376
ave_readability2,0.21980339178489997,0.11411516381705177,0.4351738807715226,0.301341243309867
length,0.20331662964776673,0.056111852808006554,0.13046407584478553,-0.005724202177113713
min,0.20322299781888456,0.10666542282061989,0.3734229992188492,0.2513718646152121
max,,,,
mean,0.33589907497807514,0.14524605486694284,0.4641266637323087,0.33611399248356244
std,0.3064443939757234,0.15193795605750574,0.47348048948048943,0.32869641986676046
q1,0.2632039464305018,0.08522671190608404,0.32875498731884484,0.22104454043063926
median,0.0472737590370219,-0.011675591444616133,-0.014573831832055337,-0.014809424164520387
q3,,,,
FRE,0.4227804518706151,0.06854654549478764,0.42409915861699987,0.21857566123327848
SMOGI,0.2745559648838505,0.0719778733300166,0.3686031426057135,0.21058006372250063
FKGL,0.383874427016929,0.06611174185783393,0.3689149062470545,0.1969920493179159
CLI,0.47317885785446057,0.05893689007466869,0.43572192922919467,0.22129311040239522
ARI,0.35444417602391154,0.029674275844258538,0.33367849803368166,0.13337086146015875
DCRS,0.3221225237527889,0.06335199932027592,0.21344403093151765,0.11644623296121952
LWF,0.30043190427389826,0.08523003716030537,0.333316313612008,0.17223606978501899
GFI,0.346821189436018,0.08984716406590001,0.258081783079549,0.09979644628992912
DW,0.2623649857166233,0.11865496370294666,0.31125903802051547,0.09246168198288005
TS,0.2852983600314456,0.04520060228262305,0.25681633168765017,0.1190825415575366
FH,0.40966112842751395,0.06495005931607893,0.40791644248828235,0.2098565600349674
SP,0.4253785339567737,0.07317023458399322,0.41932783615058744,0.21740857263829452
GP,0.4461324467925549,0.04701173826078944,0.4217801268731339,0.2102354382690585
CF,0.44689430074791964,0.09384103699781103,0.4377154956522337,0.23784347496614505
NERF,0.24541893615519295,-0.00913147669295934,0.27979959979959984,0.09612724812724814
