QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7954545454545454,0.7815468113975577,4.921469907407408,4.921904761904762,9002,4.0,5.0,4.921469907407407,0.1641067286388932,4.933333333333334,5.0,5.0,35.2,17.5,15.2,12.94,19.8,1.59,14.4,11.18,12,14th and 15th grade,76.89,72.66,35.57,4.2,0.5303758061006256
76378408,76378435,0.75,0.8047058823529412,4.913060428849903,4.951851851851853,2653,3.6666666666666665,5.0,4.913060428849903,0.2777514436407495,5.0,5.0,5.0,86.5,7.6,3.7,6.01,7.3,6.08,6.25,4.98,24,5th and 6th grade,118.44,115.1,50.24,1.0,2.2334892642235733
76378340,76378439,0.5072463768115942,0.4017094017094017,4.835697399527187,4.836190476190477,9053,3.4,5.0,4.835697399527186,0.3184909599490724,5.0,5.0,5.0,-46.33,13.2,21.6,50.13,46.1,5.44,7.666666666666666,4.76,34,4th and 5th grade,24.99,15.38,-24.17,8.4,6.870606943041775
76378344,76378496,0.0,0.0,,NaN,2534,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378323,76378505,0.0,0.0,,NaN,1854,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378468,76378523,0.875,0.8665785997357992,4.964075203252032,4.955555555555556,8206,4.733333333333333,5.0,4.964075203252032,0.07375933018212227,5.0,5.0,5.0,61.37,8.7,15.5,7.79,20.9,2.23,12.75,17.35,5,7th and 8th grade,90.67,87.41,39.57,2.1,-6.8554067029918935
76378419,76378558,0.5309734513274337,0.5703971119133574,4.831645569620254,4.870000000000001,2417,3.8666666666666663,5.0,4.831645569620254,0.32717512887711775,4.933333333333334,5.0,5.0,-2.0,9.9,15.0,33.74,36.4,10.89,3.7142857142857144,5.81,46,14th and 15th grade,57.03,52.75,1.41,4.6,8.051223542453538
76383950,76384028,0.7777777777777778,0.8095238095238095,4.95686274509804,4.947619047619048,1950,4.733333333333333,5.0,4.956862745098039,0.08537859238069503,4.933333333333334,5.0,5.0,37.98,0.0,10.0,17.36,15.8,12.92,3.5,8.2,7,9th and 10th grade,84.68,82.02,30.56,3.2,0.9004857816230336
76380624,76380646,0.5892857142857143,0.5918367346938775,4.911494252873562,4.884848484848486,3033,4.0,5.0,4.911494252873562,0.18749730257451083,4.933333333333334,5.0,5.0,4.24,10.7,14.6,23.91,22.4,10.92,4.722222222222222,7.67,20,10th and 11th grade,60.78,56.8,19.62,5.2,5.979857371681417
76380600,76380785,0.75,0.7406639004149378,4.942390289449113,4.94017094017094,7812,4.466666666666667,5.0,4.942390289449113,0.12514099434112047,4.933333333333334,5.0,5.0,41.56,11.7,10.6,19.94,19.2,1.05,10.833333333333334,5.48,15,10th and 11th grade,85.78,80.91,27.01,3.9,-0.8776335460445832
76378487,76378586,0.0,0.0,,NaN,2507,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76380579,76380826,0.675,0.5389162561576355,4.925167580743449,4.874074074074074,6583,3.6,5.0,4.925167580743449,0.24070438678420797,4.933333333333334,5.0,5.0,-722.26,0.0,308.3,15.46,403.4,39.33,64.0,313.0,14,-1th and 0th grade,-686.81,-676.43,-230.79,4.5,-2.017712002276312
76383957,76384041,0.5238095238095238,0.47941567065073043,4.823268698060941,4.8969696969696965,3996,4.133333333333334,5.0,4.823268698060941,0.26827819064096425,4.866666666666666,4.933333333333334,5.0,57.53,7.6,6.6,16.62,16.5,4.97,4.076923076923077,3.2,22,16th and 17th grade,99.33,92.69,29.72,1.3,-0.05174396434149742
76383902,76384109,0.5970149253731343,0.5097493036211699,4.934426229508196,4.915000000000001,4250,3.8,5.0,4.934426229508197,0.19669095090551292,5.0,5.0,5.0,27.15,15.5,16.2,16.31,24.6,8.54,13.2,12.42,35,15th and 16th grade,71.3,70.13,30.06,4.5,5.121031019958252
76378480,76378588,0.6065573770491803,0.6272727272727273,4.941062801932366,4.920720720720721,719,3.6666666666666665,5.0,4.941062801932368,0.17566482206552295,5.0,5.0,5.0,50.73,10.3,9.2,16.98,18.6,11.11,7.357142857142858,8.6,23,8th and 9th grade,92.5,89.15,32.18,3.2,5.080861460519733
76384080,76384128,0.8426966292134831,0.9466824644549763,4.92999582811848,4.918222222222223,5161,3.6666666666666665,5.0,4.929995828118481,0.12926624534405282,4.866666666666666,5.0,5.0,75.1,9.7,6.0,7.87,8.8,1.34,7.7142857142857135,5.72,25,5th and 6th grade,109.48,105.21,47.09,2.0,-0.450914369053133
76380728,76380908,0.0,0.0,,NaN,2693,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76384218,76384269,0.75,0.7984189723320159,4.919801980198019,4.91010101010101,1732,3.066666666666667,5.0,4.919801980198019,0.1928694912528802,4.933333333333334,5.0,5.0,68.6,10.5,8.5,10.15,14.6,7.24,14.25,9.51,29,8th and 9th grade,102.95,97.35,42.49,2.6,3.9503284612683736
76383839,76384284,0.76,0.8319477434679335,4.84967880085653,4.863157894736841,9779,3.6,5.0,4.849678800856531,0.4055215307278398,5.0,5.0,5.0,73.81,10.2,8.6,7.61,12.1,1.37,7.571428571428571,9.22,19,7th and 8th grade,105.69,99.99,46.16,2.3,-1.2989715395609638
76378670,76378715,0.8166666666666667,0.7636363636363637,4.9640211640211644,4.946938775510204,930,3.8,5.0,4.964021164021164,0.1561554856778558,5.0,5.0,5.0,81.53,9.1,5.6,8.46,10.0,6.58,6.857142857142857,7.1,9,6th and 7th grade,113.44,109.63,45.91,1.7,-1.2656522331348308
76378383,76378734,0.7317073170731707,0.76,4.974269005847953,4.966666666666667,511,4.6,5.0,4.974269005847954,0.0826032448327934,5.0,5.0,5.0,39.37,13.0,13.6,14.97,19.1,8.85,15.333333333333334,12.18,15,12th and 13th grade,81.07,75.81,33.54,4.2,2.44877451424826
