,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.5608444623577723
vocab_coverage,0.5656872892740917
ave_readability,4.916499910412583
ave_readability2,4.9071877006977545
length,5985.72
min,3.911254480286739
max,5.0
mean,4.916499910412583
std,0.19343248410238192
q1,4.934551971326166
median,4.995089605734767
q3,4.999390681003585
FRE,33.50454
SMOGI,10.032999999999998
FKGL,14.0819
CLI,19.94933
ARI,33.496199999999995
DCRS,7.0591
LWF,10.033278157106912
GFI,10.66468
DW,26.881
TS,12.535
FH,77.26538000000001
SP,64.50504000000001
GP,19.52559
CF,3.8435
NERF,3.549953462012947
