,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.0183021658140424,0.0430661015538707,0.023797740488247697,0.03213138515529177
vocab_coverage,0.024151644244843163,0.05844893437870582,0.03691621550313238,0.05587780144783304
ave_readability,0.003036515535944858,0.0035381546699778882,0.0014601325320046934,0.001764104315117396
ave_readability2,0.0027031568501510493,0.00335898193658479,0.0011982004298298269,0.0013663197872257808
length,6521982.479,6956971.053,2446638.373,2590330.19
min,0.61456,0.8068189964157706,0.37727886485867945,0.4396475569287104
max,0.0,0.0,0.0,0.0
mean,0.003036515535944849,0.0035381546699778865,0.0014601325320046917,0.0017641043151173977
std,0.012484671683655933,0.017975583095998844,0.007573410088340244,0.009054862057738202
q1,0.007689166666666674,0.007736335125448034,0.004831216386314227,0.005846206659800894
median,0.0008122222222222214,0.00042674731182795695,0.00020826181485295738,0.00020826181485295738
q3,7.583333333333305e-05,4.6202956989246985e-05,2.8607392150131394e-05,2.8607392150131394e-05
FRE,1866.7714674000001,2304.9543199,32631.095178999996,32952.9699667
SMOGI,26.415239999999997,61.85378000000001,10.64117,11.50184
FKGL,73.08042,59.03482000000001,640.1869300000001,644.4103
CLI,145.3586796,199.05134239999998,1528687.0189094,1528723.5805657
ARI,219.31806,222.17128,2281895.9643099997,2281926.89608
DCRS,10.0381601,9.533164300000001,384.85505209999997,386.01247850000004
LWF,56.92100286916948,56.45665412173089,46.56838564562972,43.91868368519724
GFI,56.081009300000005,31.282035700000005,98.70261110000001,101.10341360000001
DW,1086.572,1335.572,479.848,599.822
TS,72.759,36.182,644.913,644.056
FH,1069.1789931,1201.4244149,16420.8032214,16563.5465031
SP,1113.7845249999998,1218.3118075000002,17703.2711932,17860.987512099997
GP,442.67833830000006,542.2180357,4298738.313984199,4298832.0374385
CF,5.320819999999999,8.46301,115.56334999999999,116.45689999999999
NERF,15.600087092714562,36.61644056659991,27.09054921748516,37.75431772288783
