,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.018337569528319074,0.044182272111812894,0.1640918328523057,0.16627695785126947
vocab_coverage,0.02415222361460547,0.05923104177334871,0.16427431237387619,0.16927161808219962
ave_readability,0.0030761070407351906,0.0035466836140851878,0.0031696737302473726,0.0033585479199202788
ave_readability2,0.0027710614040652964,0.0033795287682829756,0.0030171761383203702,0.0030837452308895602
length,6513301.835,6940694.505,3843625.996,3967436.261
min,0.6145599999999991,0.8068189964157702,0.4183113919606811,0.4536141829032827
max,0.0,0.0,0.0004212743549236445,0.0004212743549236445
mean,0.0030761070407352015,0.0035466836140852095,0.0031696737302473817,0.0033585479199203
std,0.012562704955549987,0.018143152663355467,0.008845085264407056,0.009656604451738967
q1,0.008373055555555545,0.008040154569892459,0.00842460944356678,0.008571616640337013
median,0.0008077777777777759,0.00042226702508960584,0.0027523257855011423,0.002745304546252415
q3,7.583333333333307e-05,4.6202956989246985e-05,0.0013419343514130245,0.0013419343514130245
FRE,1868.433594200001,2320.9553352999997,1273544.232167001,1273625.4432176994
SMOGI,26.41524,61.853780000000036,60.67277999999996,61.81702999999996
FKGL,73.18932,59.188260000000064,24836.231430000014,24837.180780000053
CLI,145.98053869999995,200.28588730000018,95403.87951910036,95412.53425970025
ARI,219.9266599999999,223.08426000000017,250307.80286,250316.73281999992
DCRS,10.206429300000012,9.436072500000009,50.50365470000001,50.86894030000004
LWF,56.80874635830801,56.42555855496289,78.65744880550483,78.27508979203557
GFI,56.13865749999995,31.265421900000025,56.91481409999997,57.26782469999999
DW,1063.903,1293.141,833.156,884.78
TS,73.696,38.077,63.07,63.348
FH,1070.380204400001,1208.5059561999988,640885.4669944994,640921.7216285986
SP,1115.7039179999995,1229.2866848999997,688344.1008600979,688382.6744503985
GP,444.38661999999914,545.5799553999999,267623.9572492994,267647.10848799936
CF,5.348900000000003,8.540109999999997,4176.601029999996,4176.8063
NERF,15.284716411803009,35.716693518020854,57.98087499883496,60.556263953107006
