,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01923120945428086,0.04920008362699844,0.03335880961144171,0.044650165552815424
vocab_coverage,0.02494080641447869,0.06593855626637725,0.044639750879019065,0.06606984444415974
ave_readability,0.0032237582061507776,0.003968844127423907,0.0037247559130080122,0.004240260911866436
ave_readability2,0.0028909912775831096,0.003638524698985833,0.0019999238042056745,0.002404707419908517
length,6412160.559,6745870.413,26024850.775,17414771.822
min,0.61772,0.8086648745519713,0.44294741751195055,0.5778671369782481
max,0.0,0.0,4.197271773347332e-05,0.0
mean,0.0032237582061507776,0.003968844127423908,0.0037247559130080088,0.004240260911866431
std,0.013412679246462911,0.019694614548367913,0.012168925696129169,0.015844118683179916
q1,0.008024444444444452,0.008196684587813627,0.018093447592398285,0.014701940035273378
median,0.0008299999999999991,0.0004312275985663082,0.0014725428471493525,0.0015532039976484415
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0011845633671446895,0.0011522633744855968
FRE,1949.5437656999998,2549.258573,11040.283852400002,22502.5251043
SMOGI,29.754080000000002,65.1583,27.41214,36.344080000000005
FKGL,76.41561999999999,69.27954000000001,514.2745500000001,642.13869
CLI,153.5217744,215.7090098,1057.3301001,4066.0920686
ARI,228.46711,255.77185,1451.9994099999997,4019.091040000001
DCRS,10.2112022,10.136417600000001,38.5448673,36.548896
LWF,76.48972497433718,84.08694352595633,103.92061149993451,105.1767751343367
GFI,57.966722399999995,36.70289,354.2146021,248.2998126
DW,1021.832,1201.86,520.587,684.931
TS,74.364,43.513,357.415,379.157
FH,1115.6483747999998,1346.6917833999998,6746.3672597,12113.7003674
SP,1165.2845196,1363.4251758999997,6655.334308700001,12438.117243100001
GP,465.576981,595.5166125999999,3198.1676859,11447.205934700001
CF,5.57963,9.12344,23.952810000000003,65.10166000000001
NERF,15.988437054056986,34.870741181402344,90.49126618907405,116.9361906925417
