,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6918598208450903
vocab_coverage,0.7074022508462703
ave_readability,4.921799604524363
ave_readability2,4.916819815965104
length,4638.248
min,3.933533734134937
max,5.0
mean,4.921799604524363
std,0.17905310830881682
q1,4.942251169004677
median,4.991716766867068
q3,4.998329993319973
FRE,36.66746
SMOGI,10.284400000000002
FKGL,12.8114
CLI,18.80788
ARI,21.9761
DCRS,5.302149999999999
LWF,9.287259907417145
GFI,8.807529999999998
DW,27.89
TS,10.988
FH,80.51679000000001
SP,76.31344
GP,26.615029999999997
CF,3.7197
NERF,1.393582455256536
