,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7458582788585955
vocab_coverage,0.7852698191497408
ave_readability,4.93628649091481
ave_readability2,4.926831601163421
length,1381.966
min,4.111644978311642
max,5.0
mean,4.936286490914809
std,0.1625505083335203
q1,4.9674341007674485
median,4.999065732399067
q3,4.9996663329996665
FRE,55.32881000000004
SMOGI,10.530500000000002
FKGL,10.696099999999994
CLI,12.101169999999994
ARI,15.124800000000016
DCRS,7.764429999999991
LWF,11.142532166702656
GFI,10.632420000000007
DW,18.598
TS,9.965
FH,93.16253999999986
SP,89.78181999999998
GP,38.23887999999999
CF,2.9383
NERF,2.4275035456486243
