,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01830216581404244,0.0430661015538707,0.10582468084167579,0.10834158587137135
vocab_coverage,0.024151644244843142,0.05844893437870576,0.10689701849120108,0.11369972669757192
ave_readability,0.00303651553594486,0.003538154669977892,0.0021005760019161684,0.002470802725953327
ave_readability2,0.0027031568501510446,0.0033589819365847876,0.0018710640389560716,0.002252826598283825
length,6521982.479,6956971.053,4141515.82,4279710.272
min,0.6145599999999991,0.8068189964157702,0.3501370662000584,0.38030329542140595
max,0.0,0.0,0.0002916302128900549,0.0002916302128900549
mean,0.0030365155359448576,0.003538154669977914,0.0021005760019161797,0.002470802725953346
std,0.012484671683655949,0.01797558309599885,0.007706853093399808,0.008972099358097233
q1,0.007689166666666653,0.007736335125448015,0.005557742782152224,0.0060819480898220936
median,0.0008122222222222201,0.00042674731182795706,0.0007494896471274433,0.0007261592300962387
q3,7.583333333333307e-05,4.6202956989246985e-05,0.00033063575386409964,0.00033063575386409964
FRE,1866.7714674000013,2304.9543198999995,6150.993921800008,6236.24865980001
SMOGI,26.41524,61.853780000000036,40.97784999999998,42.29085000000001
FKGL,73.08042000000002,59.03482000000005,170.8224799999999,171.69988000000006
CLI,145.35867960000004,199.0513423999998,185700.3828464001,185712.48472240014
ARI,219.31805999999986,222.17128,122647.79242999997,122660.04831
DCRS,10.03816010000001,9.5331643,26.97945769999998,27.335228800000017
LWF,56.92100286916952,56.456654121730956,67.0947105138294,65.8265703660699
GFI,56.081009300000005,31.282035700000012,39.360587700000025,39.93618740000001
DW,1086.572,1335.572,734.589,782.94
TS,72.759,36.182,50.826,48.064
FH,1069.1789930999994,1201.4244148999994,3356.8144285000035,3393.8816349000026
SP,1113.7845249999998,1218.3118075000007,2084.0556089999973,2128.014234799997
GP,442.67833829999984,542.2180356999993,520696.03073350026,520728.0052041001
CF,5.320820000000008,8.463009999999995,28.089490000000037,28.357920000000046
NERF,15.600087092714574,36.61644056659991,41.20798950316712,45.438408023660415
