,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01923120945428087,0.04920008362699851,0.0974240721656806,0.1032405235696446
vocab_coverage,0.024940806414478645,0.06593855626637718,0.10271884272540954,0.11558562036314443
ave_readability,0.0032237582061507802,0.003968844127423909,0.0025786856452072833,0.0028587688594956394
ave_readability2,0.0028909912775831083,0.0036385246989858355,0.0021868586805720144,0.0023467290393147846
length,6412160.559,6745870.413,3240612.392,3565430.017
min,0.6177199999999992,0.808664874551971,0.3963224181360199,0.45618247970892817
max,0.0,0.0,0.0006828995242093471,0.0006828995242093471
mean,0.0032237582061507824,0.003968844127423934,0.0025786856452072785,0.0028587688594956476
std,0.01341267924646291,0.019694614548367902,0.008440815821287707,0.010071094735590327
q1,0.008024444444444428,0.008196684587813603,0.0056811502938706945,0.00597292191435768
median,0.0008299999999999982,0.0004312275985663083,0.0012846347607052887,0.0012846347607052887
q3,7.583333333333307e-05,4.6202956989246985e-05,0.000874615169325496,0.000874615169325496
FRE,1949.5437657000014,2549.2585729999987,8635.117499199998,8831.0159124
SMOGI,29.754080000000002,65.15830000000001,42.126190000000015,46.384570000000004
FKGL,76.41562000000005,69.27954,219.68796999999998,221.69500000000002
CLI,153.52177439999994,215.70900980000013,429.69257520000025,452.18867420000043
ARI,228.46711000000002,255.77184999999952,1031.86166,1054.5156900000002
DCRS,10.211202200000011,10.136417599999993,38.61856960000003,39.19220040000008
LWF,76.48972497433725,84.08694352595624,92.59194653034159,86.4139932372814
GFI,57.96672240000005,36.70289000000003,49.30217990000002,49.56510120000001
DW,1021.832,1201.86,555.81,628.196
TS,74.364,43.513,61.008,59.398
FH,1115.6483747999998,1346.6917834,4594.079034100004,4680.525428600003
SP,1165.2845196,1363.4251758999985,3630.566125300001,3727.0768992000003
GP,465.57698100000033,595.5166125999998,1006.0399011999995,1063.8276117999999
CF,5.5796300000000025,9.123440000000004,19.600520000000007,20.29314
NERF,15.988437054056972,34.87074118140234,47.29875810222021,52.9618618944947
