,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.46647791393950944
vocab_coverage,0.49382197749112133
ave_readability,4.918038597715919
ave_readability2,4.908353595060663
length,5103.426
min,4.1986893840104855
max,4.99554390563565
mean,4.918038597715919
std,0.1510040838996217
q1,4.911926605504587
median,4.978636959370905
q3,4.989362166885103
FRE,8.784300000000004
SMOGI,6.5234
FKGL,19.2988
CLI,31.51841
ARI,147.85439999999997
DCRS,8.307039999999999
LWF,8.806284284591916
GFI,14.36598
DW,13.687
TS,14.758
FH,57.570640000000004
SP,5.408099999999999
GP,-21.55338
CF,4.9897
NERF,1.832505659658656
