,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6752534014688146
vocab_coverage,0.7141540285311425
ave_readability,4.921228754420763
ave_readability2,4.901257695706099
length,2112.66
min,3.6696666666666666
max,5.0
mean,4.921228754420765
std,0.19779224787399363
q1,4.946683333333334
median,5.0
q3,5.0
FRE,52.30889
SMOGI,12.1311
FKGL,10.700299999999999
CLI,13.12739
ARI,15.6424
DCRS,8.43746
LWF,11.623338772338771
GFI,10.42782
DW,47.611
TS,10.774
FH,91.52431
SP,88.30555
GP,37.31255
CF,3.2385
NERF,5.333000179647741
