,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34492325629408344,0.031927929940396484,0.34389913480183165,0.14979261231436083
vocab_coverage,0.4138761537795672,0.06800376101624171,0.3361832873732948,0.16594969304095805
ave_readability,0.3368208996651676,0.14489175302191543,0.4235238325207215,0.2767657551615403
ave_readability2,0.22113235036638693,0.11457635331288364,0.35774018446561767,0.23010917807122658
length,0.20331662964776673,0.056111852808006554,0.27263582789202895,-0.03506271182834638
min,0.20322299781888456,0.10666542282061989,0.3036352700352466,0.19062303480415807
max,,,,
mean,0.33696519804870084,0.14507815387641443,0.4234938048967357,0.2767375962515361
std,0.30656245518932695,0.15204799501153363,0.40649417901809637,0.2647034425862048
q1,0.28843540888926944,0.11302068507465421,0.3286461611905795,0.2045266328676995
median,0.0411559627577507,-0.012796453755033271,-0.014751436886175992,-0.015056956865210379
q3,,,,
FRE,0.4263204037423694,0.06606834824555957,0.45791251029539165,0.2507824912123009
SMOGI,0.2745559648838505,0.0719778733300166,0.35221719637673893,0.21872923776092226
FKGL,0.3860705819541602,0.0681144868945126,0.38985609807590144,0.20215729854196723
CLI,0.47374020159782043,0.05842559715104642,0.48353448682976946,0.2705840452381769
ARI,0.3543345830642611,0.02989232123401479,0.3970189776632485,0.16806103630100247
DCRS,0.32068443730248375,0.06385699616421191,0.30743553614446656,0.16218587228730388
LWF,0.29767466008309373,0.08503678363979279,0.26591699192816015,0.18784036773375906
GFI,0.3465328274040892,0.08937067256802553,0.34309280792748437,0.1832930358463705
DW,0.2629023949241971,0.11901915383436493,0.3095763648082163,0.05715306306380149
TS,0.27388156630115695,0.05265711041633851,0.25377388948034085,0.1609689775299799
FH,0.41311665711793893,0.0642251298613635,0.4327498150718787,0.230989884071425
SP,0.4252145247472004,0.07316043238436509,0.3904228641642491,0.18476553791006187
GP,0.44617708613284085,0.046709179479978755,0.40661513208830596,0.1791271636102702
CF,0.4466861193396672,0.0929726822441577,0.47434655189848246,0.28459736441567585
NERF,0.24555492029158502,-0.00926569085012412,0.28482409483379934,-0.008686885881008919
