,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34543628003000765,0.032326176606219996,0.4233299872784309,0.20235069207584874
vocab_coverage,0.41887899241028703,0.07135301624166532,0.34781465614370166,0.20571536522046455
ave_readability,0.33726131199690074,0.14529044724633197,0.40760390774449623,0.29906169016252376
ave_readability2,0.21975117965626265,0.11493042580257741,0.3901049427999951,0.25532870167309313
length,0.20331662964776673,0.056111852808006554,-0.09165150406073548,-0.12750557867599546
min,0.20307709654470923,0.10691918088844313,0.331799463976714,0.23008161245830078
max,,,,
mean,0.3372707730903035,0.14517440646422733,0.40757084605599403,0.29904735514704994
std,0.30543621283748684,0.1514802399838029,0.40867954158369607,0.2980905959447438
q1,0.2849419062433839,0.10435940320922431,0.34805768801301795,0.26193267603899606
median,0.03599713465958862,-0.013828764111056139,0.03369255108662941,0.03577675735226653
q3,,,,
FRE,0.42753735788760905,0.07111870609865872,0.3591432395120825,0.20396241991274147
SMOGI,0.2650309906890334,0.06780222024833282,0.34838892622780077,0.21654667204359612
FKGL,0.38717821908219846,0.07177723681600512,0.3001003570078569,0.16528645915616444
CLI,0.47234194457037826,0.05839750542973789,0.3724813079442097,0.2081890036229553
ARI,0.35220688125458754,0.025870335412644142,0.2579855738348611,0.11019964148022449
DCRS,0.32478908740171236,0.0631761113651378,0.16400502177951687,0.10869955397709533
LWF,0.30135965094685147,0.07940047095622464,0.3485207889727991,0.2053088490744796
GFI,0.3477660214736181,0.08523394177503286,0.2594661619074597,0.1517936277994146
DW,0.26142344985080795,0.11832340374469467,0.22064584690968997,0.060291542848832515
TS,0.27896932618583836,0.04789518082271578,0.19117158469847093,0.09894182215474207
FH,0.4146209079598439,0.07030903092237745,0.33940919107736606,0.19146359901052032
SP,0.42417886122915494,0.07180807550945881,0.34832828706568353,0.1953810621284062
GP,0.44354979855085125,0.044331334143020144,0.3332088871058457,0.17816402223570577
CF,0.4471954692668192,0.09386954175867059,0.3877129523787381,0.22313928475846054
NERF,0.24811129485562874,-0.0032010577484386698,0.28293759093759097,0.14975816420743873
