QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7205882352941176,0.6623376623376623,4.923529411764706,4.888435374149659,958,4.0,5.0,4.923529411764707,0.1681365403288993,4.933333333333334,5.0,5.0,37.03,15.4,14.5,14.39,21.6,9.47,17.5,14.3,28,14th and 15th grade,78.73,74.16,33.72,4.2,4.54078139014246
76378408,76378435,0.7866666666666666,0.8397790055248618,4.944736842105263,4.937853107344632,1001,3.6666666666666665,5.0,4.944736842105263,0.21975216180794999,5.0,5.0,5.0,68.5,11.9,8.6,8.01,10.3,7.12,10.666666666666666,10.11,18,8th and 9th grade,102.85,102.68,46.08,2.2,1.4886970423915846
76378340,76378439,0.7142857142857143,0.8015267175572519,4.973968253968254,4.959999999999999,692,4.533333333333333,5.0,4.973968253968254,0.07670198667169736,5.0,5.0,5.0,80.51,7.2,6.0,6.09,7.2,7.74,10.8,7.06,14,7th and 8th grade,112.42,111.51,50.0,1.6,1.5862877534954363
76378344,76378496,0.7671232876712328,0.8015873015873016,4.9399339933993405,4.946428571428571,719,4.266666666666667,5.0,4.9399339933993405,0.13382909499145162,4.933333333333334,5.0,5.0,74.29,8.8,6.4,8.58,7.8,8.12,6.125,7.48,21,8th and 9th grade,108.66,107.22,46.11,1.9,3.9771853034101934
76378323,76378505,0.7307692307692307,0.7718120805369127,4.931594202898551,4.905263157894737,856,3.733333333333333,5.0,4.93159420289855,0.2077644280210996,5.0,5.0,5.0,70.02,9.8,8.0,9.28,10.5,8.02,8.5,8.9,21,8th and 9th grade,104.38,104.07,43.97,2.1,4.017041683760683
76378468,76378523,0.7950819672131147,0.8099173553719008,4.90374149659864,4.874914089347081,1325,3.066666666666667,5.0,4.903741496598638,0.25396549540937874,4.933333333333334,5.0,5.0,72.56,9.2,7.0,8.0,8.2,7.65,7.0,8.46,32,7th and 8th grade,106.93,103.91,46.92,2.1,5.275007939785935
76378419,76378558,0.6875,0.7588235294117647,4.92454780361757,4.8969696969696965,1065,3.933333333333333,5.0,4.924547803617571,0.1954486162196342,5.0,5.0,5.0,53.31,11.9,10.3,13.05,13.8,8.35,10.333333333333334,9.64,32,9th and 10th grade,92.58,91.43,37.73,3.1,1.1108738813629122
76383950,76384028,0.7363636363636363,0.7757009345794392,4.917269076305222,4.881481481481484,1336,4.266666666666667,5.0,4.91726907630522,0.16769653264890935,4.933333333333334,5.0,5.0,48.2,12.9,10.2,12.98,11.8,8.6,12.166666666666666,10.72,49,12th and 13th grade,89.95,86.13,38.45,3.5,4.778672723400273
76380624,76380646,0.7241379310344828,0.761437908496732,4.915593705293277,4.88888888888889,1787,4.266666666666667,5.0,4.915593705293273,0.16478202801215525,4.933333333333334,5.0,5.0,54.73,11.9,9.7,10.73,10.4,7.59,10.5,9.7,43,9th and 10th grade,94.01,92.17,42.13,3.1,2.8604024706767497
76380600,76380785,0.8222222222222222,0.8494623655913979,4.935021097046413,4.908108108108108,575,4.266666666666667,5.0,4.935021097046415,0.15588761632023007,4.933333333333334,5.0,5.0,48.64,14.2,12.1,12.42,15.1,7.74,15.0,12.56,16,12th and 13th grade,87.89,83.96,38.18,3.6,2.204114589014053
