,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01830216581404244,0.0430661015538707,0.012889482719209106,0.022256974116742295
vocab_coverage,0.024151644244843142,0.05844893437870576,0.02898960221940631,0.047561864842069645
ave_readability,0.0030365155359448528,0.0035381546699778913,0.0014912897792052704,0.0017957737944089502
ave_readability2,0.002703156850151044,0.003358981936584785,0.0010734222892043999,0.0012227161438782526
length,6521982.479,6956971.053,4972270.895,5141105.771
min,0.6145599999999991,0.8068189964157702,0.37089777777777805,0.43673333333333403
max,0.0,0.0,0.0,0.0
mean,0.0030365155359448576,0.003538154669977914,0.0014912897792052615,0.0017957737944089519
std,0.012484671683655949,0.01797558309599885,0.007215130613507931,0.008854862124211813
q1,0.007689166666666653,0.007736335125448015,0.005219722222222209,0.005677777777777759
median,0.0008122222222222201,0.00042674731182795706,0.0001466666666666664,0.0001466666666666664
q3,7.583333333333307e-05,4.6202956989246985e-05,7.999999999999991e-05,7.999999999999991e-05
FRE,1866.7714674000013,2304.9543198999995,6047.772846899996,6341.791728600005
SMOGI,26.41524,61.853780000000036,8.724100000000004,9.937970000000005
FKGL,73.08042000000002,59.03482000000005,133.06030000000015,137.3529899999999
CLI,145.35867960000004,199.0513423999998,437.5154592999989,473.4583048999995
ARI,219.31805999999986,222.17128,416.24610000000007,444.1981400000006
DCRS,10.03816010000001,9.5331643,6.708203999999992,8.1639263
LWF,56.92100286916952,56.456654121730956,37.346485102601164,34.70604722850354
GFI,56.081009300000005,31.282035700000012,24.71024149999999,28.82986010000001
DW,1086.572,1335.572,437.952,570.929
TS,72.759,36.182,140.681,121.93
FH,1069.1789930999994,1201.4244148999994,3094.106767700006,3223.894374200001
SP,1113.7845249999998,1218.3118075000007,3324.5941540000013,3468.9357194999916
GP,442.67833829999984,542.2180356999993,1243.480897899999,1332.696870400001
CF,5.320820000000008,8.463009999999995,19.135020000000036,20.00501000000003
NERF,15.600087092714574,36.61644056659991,27.66502041419142,39.30708677699423
