,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10201803937205502,0.1686709889546142,0.20418173726302366,0.20756505003191777
vocab_coverage,0.1186890198694308,0.20082260317036527,0.21949108565895495,0.22408657174475421
ave_readability,0.03775888471168739,0.04114335017773551,0.05419435666406026,0.05522084391503882
ave_readability2,0.038612459252055774,0.0420446792660767,0.049568324383296,0.050318643742579876
length,1273.513,1462.263,4274.943,4088.183
min,0.5672,0.6954301075268816,0.6696604600219059,0.6775824175824177
max,0.0,0.0,0.0032128514056224806,0.003296703296703287
mean,0.03775888471168732,0.04114335017773544,0.054194356664060216,0.055220843915038786
std,0.08279392402477956,0.0997869864667308,0.11814569267317629,0.11981151339419815
q1,0.05351666666666667,0.053713037634408586,0.07349397590361446,0.07456043956043955
median,0.004499999999999992,0.0027889784946236525,0.019897772909821084,0.020256410256410236
q3,0.000549999999999999,0.00038642473118279434,0.006407447973713022,0.006666666666666655
FRE,25.183580000000003,31.30369,175.72072999999997,178.88393
SMOGI,3.313,6.1484,5.8025,5.9438
FKGL,4.359,5.1512,43.791199999999996,44.62859999999999
CLI,7.015149999999999,9.289390000000001,112.41119000000002,113.00294
ARI,8.4346,10.378,147.3364,148.48870000000002
DCRS,2.0793900000000005,2.03261,7.3487800000000005,7.34242
LWF,4.829290442701806,5.348958475223981,13.521090272160887,13.728166646663578
GFI,3.5047699999999997,3.95621,33.457029999999996,34.08442
DW,20.715,25.203,23.115,23.453
TS,4.262,4.251,27.628,28.182
FH,18.578480000000003,22.808619999999998,147.71259,150.43522000000002
SP,18.885540000000002,23.07289,147.84932999999998,150.36203
GP,12.187899999999999,15.3064,213.43562,214.68741999999997
CF,1.3822,1.8459,5.9831,6.0874
NERF,2.9116540551247816,4.998088325281693,67.10159741048571,66.92077625105787
