,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.3450504079144552,0.03094254027998341,0.2687093553985253,0.11694272987458859
vocab_coverage,0.4199226359741189,0.07198090573776134,0.36161988455034155,0.2002321159343309
ave_readability,0.33838347350437176,0.14535791850699264,0.32451600445275625,0.2064124791899529
ave_readability2,0.21956903035526054,0.11439416206399199,0.14801697116994425,0.10542140671644641
length,0.20331662964776673,0.056111852808006554,0.29747833399489026,0.051598743653097065
min,0.20307709654470923,0.10691918088844313,0.10733172103034183,0.08993238737799289
max,,,,
mean,0.3383419404725801,0.14544075439426735,0.3245151642136272,0.2064122477627942
std,0.30535487074565165,0.15157766038381082,0.2696752496752497,0.16414772014772014
q1,0.29145193828718663,0.1148896576343288,0.27240189153788436,0.1907248057227696
median,0.027866504874792353,-0.015696223648179367,,
q3,,,,
FRE,0.4282009898911455,0.06959353240696191,0.370074098711717,0.21799642783246292
SMOGI,0.27287966468790914,0.06846316923830792,0.3044878462594297,0.21621986212647673
FKGL,0.38896037537418976,0.07120945069306102,0.31100740771210084,0.18982040789265345
CLI,0.47146653414147327,0.05670515972709852,0.4054473910134901,0.24678406659521954
ARI,0.35236401460925065,0.026217578700512202,0.26484646533568496,0.1573571000337035
DCRS,0.32443750469863275,0.0638928867949718,0.20181613121602546,0.05958954270033643
LWF,0.30152245235199554,0.0810746058862822,0.23131413595739775,0.20676369205841677
GFI,0.34985664921615955,0.08778955422318455,0.32418002225328685,0.19674500635033623
DW,0.26142344985080795,0.11832340374469467,0.3254802809284379,0.20028703997498395
TS,0.25494350819441075,0.023463157803080968,0.19438263927638041,0.14393379492021163
FH,0.41563003306937685,0.06905899292731232,0.3461866052581432,0.20458442482862582
SP,0.4214112169572195,0.06937592979083329,0.35203530410798484,0.21678339928006138
GP,0.4423406423474144,0.043945850093266715,0.34811819217462114,0.2137765119472396
CF,0.44682283822148566,0.09172654084679377,0.4258023837575081,0.2590612779257488
NERF,0.2517496805049295,-0.0035767961884283885,0.19706118506118508,0.025722181722181724
