,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10679073723178904,0.18665249136806233,0.11072635607024753,0.15025627261852081
vocab_coverage,0.12215125573122956,0.21842114425362819,0.14790448628328628,0.20104649219709947
ave_readability,0.039482889839092136,0.04481306366263344,0.03144420401783409,0.03590346843472275
ave_readability2,0.039931791007689434,0.04521567778093987,0.030168559806195504,0.03318144569103805
length,1235.017,1386.241,952.398,1086.327
min,0.569,0.6967741935483871,0.4570666666666667,0.5114666666666666
max,0.0,0.0,0.0,0.0
mean,0.03948288983909211,0.04481306366263345,0.03144420401783406,0.03590346843472268
std,0.08605892419422001,0.1053691839848429,0.07161284090362534,0.08187937169940235
q1,0.053633333333333345,0.05762768817204301,0.04098333333333332,0.044916666666666646
median,0.004799999999999992,0.0030241935483870924,0.0006999999999999984,0.0006999999999999984
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0
FRE,26.08137,32.255199999999995,22.969309999999997,27.426779999999997
SMOGI,3.5101999999999998,6.1996,2.0841999999999996,2.355
FKGL,4.597899999999999,5.4825,3.8333000000000004,4.3753
CLI,7.29367,9.412049999999999,6.4471,7.927689999999999
ARI,8.839900000000002,10.8549,7.6038,9.3408
DCRS,2.10219,2.1403499999999998,1.64348,1.98075
LWF,5.444408100731771,6.100095073300826,4.387849369005122,4.656715311396065
GFI,3.6550199999999995,4.14356,2.5721000000000003,2.90846
DW,19.856,23.558,14.758,16.893
TS,4.427,4.46,3.222,3.449
FH,19.34288,23.72074,16.86272,19.91514
SP,19.803549999999998,24.13538,17.17895,20.379369999999998
GP,12.64064,15.725439999999999,11.196339999999998,13.719240000000001
CF,1.4307,1.89,1.2016,1.4132
NERF,2.820566356759218,4.482677909896884,2.9823853913323193,4.048701293824088
