,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6105632958013789
vocab_coverage,0.6256342470837926
ave_readability,4.922823409717545
ave_readability2,4.917900126091533
length,4777.848
min,4.120728291316527
max,4.999299719887955
mean,4.922823409717545
std,0.17384561099282198
q1,4.940598739495799
median,4.995518207282913
q3,4.9987570028011215
FRE,40.51761
SMOGI,10.2086
FKGL,14.163900000000002
CLI,15.28
ARI,24.2181
DCRS,5.7209200000000004
LWF,9.66538187133609
GFI,11.86978
DW,18.163
TS,12.066
FH,80.95801
SP,67.95336999999999
GP,25.74569
CF,3.2764
NERF,1.4307544548013276
