,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7370097635297116
vocab_coverage,0.7898975259749932
ave_readability,4.9309598331997
ave_readability2,4.911401885307185
length,1670.362
min,3.9781999999999997
max,5.0
mean,4.930959833199698
std,0.17297800015829023
q1,4.959833333333351
median,4.999200000000001
q3,4.9996
FRE,49.51729000000002
SMOGI,12.376100000000012
FKGL,11.946400000000006
CLI,12.533889999999973
ARI,15.924699999999978
DCRS,7.739740000000008
LWF,12.543501946664435
GFI,11.518769999999991
DW,27.595
TS,11.593
FH,88.50841
SP,85.20891000000002
GP,37.39108000000004
CF,3.3378000000000014
NERF,2.2940310302871874
