QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7368421052631579,0.671875,4.936434108527132,4.909523809523809,807,4.0,5.0,4.936434108527132,0.14973084438976816,4.95,5.0,5.0,58.58,11.6,8.2,10.66,12.9,7.87,7.25,8.24,19,7th and 8th grade,97.89,93.61,42.52,2.9,3.938724904995631
76378408,76378435,0.6785714285714286,0.7681818181818182,4.927810650887574,4.936842105263159,1315,3.6666666666666665,5.0,4.927810650887571,0.2697475010287943,5.0,5.0,5.0,80.41,9.1,6.1,8.0,10.2,7.67,8.333333333333334,8.38,23,7th and 8th grade,112.32,109.99,46.73,1.7,2.8689730475271453
76378340,76378439,0.6346153846153846,0.7076271186440678,4.9425149700598805,4.9080808080808085,1961,4.0,5.0,4.94251497005988,0.17186173521193035,5.0,5.0,5.0,36.49,13.2,12.6,20.36,21.4,9.19,11.2,11.25,49,12th and 13th grade,80.68,75.31,25.5,4.4,3.7530749996237818
76378344,76378496,0.7788461538461539,0.8380566801619433,4.941062801932366,4.91851851851852,1491,4.133333333333334,5.0,4.941062801932361,0.12478364669343328,4.933333333333334,5.0,5.0,57.2,11.6,10.8,10.91,13.5,7.76,12.2,10.75,39,10th and 11th grade,93.99,91.27,40.73,3.0,2.637800910409199
76378323,76378505,0.6704545454545454,0.7263681592039801,4.895433789954338,4.900564971751414,1405,3.733333333333333,5.0,4.895433789954335,0.29037398173596396,4.933333333333334,5.0,5.0,58.18,10.0,8.4,17.91,17.6,8.93,6.333333333333333,7.83,30,17th and 18th grade,97.48,91.51,30.31,3.1,5.195040865180269
76378468,76378523,0.7238095238095238,0.816793893129771,4.891277258566979,4.882456140350878,1478,3.733333333333333,5.0,4.891277258566976,0.26736033022991007,4.883333333333333,5.0,5.0,70.84,8.6,7.7,7.94,9.1,7.11,5.111111111111111,7.84,24,7th and 8th grade,105.19,105.4,46.49,2.0,2.5037708379702543
76378419,76378558,0.6530612244897959,0.7254901960784313,4.873153153153154,4.86875,1888,3.8666666666666663,5.0,4.873153153153147,0.2896512824639318,4.933333333333334,5.0,5.0,49.92,10.7,9.5,16.81,17.8,8.3,6.222222222222222,7.16,39,10th and 11th grade,91.68,90.82,32.16,3.1,5.314346272145539
76383950,76384028,0.7692307692307693,0.7628205128205128,4.938935574229693,4.891999999999999,1122,3.4,5.0,4.938935574229693,0.18946676008978108,5.0,5.0,5.0,45.15,11.7,11.3,13.92,16.0,7.87,12.2,10.16,24,11th and 12th grade,86.89,82.28,36.4,3.8,3.5777486322847594
76380624,76380646,0.7439024390243902,0.7120622568093385,4.931876138433516,4.89726775956284,1393,4.0,5.0,4.931876138433516,0.15300372971520684,5.0,5.0,5.0,59.6,10.4,7.9,10.54,9.0,6.7,6.875,6.65,26,6th and 7th grade,98.91,98.44,42.64,2.4,1.747468204568678
76380600,76380785,0.75,0.785234899328859,4.9475783475783475,4.9296296296296305,1108,4.4,5.0,4.947578347578347,0.11945716404675702,4.933333333333334,5.0,5.0,49.01,12.2,9.9,15.83,16.0,8.1,12.4,9.0,23,15th and 16th grade,90.76,84.24,34.0,3.7,5.802452971085348
76378487,76378586,0.647887323943662,0.6528497409326425,4.946560846560847,4.9173913043478255,1020,3.6666666666666665,5.0,4.946560846560846,0.22031240305455219,5.0,5.0,5.0,72.9,8.1,9.0,5.87,10.1,7.48,10.6,9.86,13,8th and 9th grade,104.77,103.11,48.7,2.0,0.1841955552757728
76380579,76380826,0.7228915662650602,0.7947368421052632,4.915673289183222,4.890000000000001,1151,3.333333333333333,5.0,4.915673289183218,0.23544637508598654,4.933333333333334,5.0,5.0,52.63,13.0,12.6,10.16,15.9,8.75,16.0,13.95,32,12th and 13th grade,89.4,87.19,40.45,3.1,3.1506398014384507
76383957,76384041,0.7215189873417721,0.7459016393442623,4.955311355311354,4.936842105263158,1437,4.133333333333334,5.0,4.955311355311353,0.15023138687516857,5.0,5.0,5.0,50.57,11.9,11.3,10.56,13.8,7.09,10.166666666666666,10.53,28,10th and 11th grade,89.83,88.49,41.4,3.3,0.12856398289808624
