QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7,0.6965174129353234,4.915238095238095,4.912169312169313,1179,4.0,5.0,4.915238095238096,0.17581427017273618,4.933333333333334,5.0,5.0,60.01,11.5,7.7,10.3,11.8,8.19,4.916666666666667,7.34,28,7th and 8th grade,99.31,97.29,43.08,2.5,4.530331699572596
76378408,76378435,0.8072289156626506,0.8112244897959183,4.915723270440251,4.938308457711444,1328,3.6666666666666665,5.0,4.915723270440251,0.26110048564191124,5.0,5.0,5.0,69.92,11.6,8.0,11.31,13.2,7.75,12.0,9.7,25,7th and 8th grade,104.28,98.61,41.02,2.5,5.078201208446366
76378340,76378439,0.5528455284552846,0.5953307392996109,4.927668845315904,4.88921568627451,2285,3.733333333333333,5.0,4.927668845315904,0.21449949679993394,5.0,5.0,5.0,10.97,11.7,14.1,29.15,26.0,9.74,5.153846153846154,9.78,50,9th and 10th grade,65.05,60.28,11.74,5.2,5.949299278001902
76378344,76378496,0.7264150943396226,0.7121212121212122,4.927659574468085,4.903030303030303,2219,3.8666666666666663,5.0,4.927659574468085,0.1934285836451721,4.933333333333334,5.0,5.0,53.1,11.9,10.3,12.35,16.7,7.47,21.666666666666668,8.76,38,11th and 12th grade,92.38,87.53,38.78,3.4,3.463520447559718
76378323,76378505,0.6931818181818182,0.7283018867924528,4.919516407599309,4.923497267759563,1759,3.8,5.0,4.91951640759931,0.26518195682568074,5.0,5.0,5.0,57.37,10.3,8.7,14.38,14.3,7.4,7.7142857142857135,6.75,31,6th and 7th grade,96.66,91.32,36.46,3.1,6.420114976619619
76378468,76378523,0.8095238095238095,0.8475750577367206,4.903723887375114,4.810294117647058,2457,2.2,5.0,4.903723887375114,0.3172048088562272,5.0,5.0,5.0,68.6,10.9,8.5,8.82,10.4,6.99,9.0,10.13,48,8th and 9th grade,102.95,100.5,44.71,2.4,3.5895183755715427
76378419,76378558,0.6666666666666666,0.697986577181208,4.88076923076923,4.880833333333335,2326,3.733333333333333,5.0,4.880769230769231,0.2624136938987029,4.933333333333334,5.0,5.0,47.35,9.4,8.4,21.18,21.4,8.53,4.071428571428571,4.67,40,8th and 9th grade,91.6,89.39,23.94,2.4,6.954907283875597
76383950,76384028,0.7525773195876289,0.7869565217391304,4.937016574585636,4.915981735159818,1394,3.4,5.0,4.937016574585636,0.22574873790508196,5.0,5.0,5.0,56.76,10.2,8.9,10.2,10.5,7.47,8.666666666666666,8.19,35,8th and 9th grade,96.05,93.42,43.13,3.0,3.403022450570141
76380624,76380646,0.5932203389830508,0.6141078838174274,4.921171171171171,4.901904761904762,1586,4.266666666666667,5.0,4.921171171171172,0.14643658492034312,4.933333333333334,5.0,5.0,52.15,10.3,8.6,15.29,14.8,9.89,6.375,8.43,43,9th and 10th grade,93.93,88.62,35.01,3.1,5.936925146675005
76380600,76380785,0.7625,0.7435897435897436,4.956781609195402,4.920218579234973,1276,3.066666666666667,5.0,4.956781609195402,0.1728784543206345,5.0,5.0,5.0,57.77,11.8,8.6,11.19,12.3,6.64,7.857142857142858,7.67,18,11th and 12th grade,97.07,93.83,41.85,2.9,4.516471759363386
76378487,76378586,0.6781609195402298,0.6764705882352942,4.975724637681159,4.9638418079096045,1607,4.666666666666667,5.0,4.975724637681159,0.0723323082926043,5.0,5.0,5.0,57.81,11.2,10.6,9.57,13.0,7.19,11.6,10.09,23,10th and 11th grade,94.6,94.17,42.65,2.8,2.9577945270190362
76380579,76380826,0.7352941176470589,0.7857142857142857,4.928867623604465,4.904,1545,3.733333333333333,5.0,4.928867623604465,0.177708384972296,4.933333333333334,5.0,5.0,64.85,11.9,10.0,9.41,13.8,7.88,31.5,11.63,30,11th and 12th grade,99.18,93.5,42.92,2.8,2.524656575880231
76383957,76384041,0.7207207207207207,0.701067615658363,4.944162436548222,4.9075,1862,4.133333333333334,5.0,4.944162436548224,0.14768772641527644,5.0,5.0,5.0,38.42,12.7,11.9,13.28,13.5,7.63,8.428571428571429,10.35,43,11th and 12th grade,82.62,78.25,37.97,4.2,3.467076863594671
76383902,76384109,0.6284153005464481,0.5693950177935944,4.927708333333334,4.900869565217392,4039,3.6666666666666665,5.0,4.927708333333333,0.20912256756239606,5.0,5.0,5.0,37.13,14.2,14.4,14.97,21.4,8.0,10.5,11.69,59,14th and 15th grade,78.83,75.68,32.83,4.1,5.657559072624126
76378480,76378588,0.4088397790055249,0.44963144963144963,4.923497267759562,4.898198198198199,2844,3.8666666666666663,5.0,4.923497267759563,0.18432939507333757,4.933333333333334,5.0,5.0,47.49,13.5,10.4,14.09,16.3,10.05,10.5,9.53,68,10th and 11th grade,89.23,87.28,36.36,3.5,8.428469705759493
76384080,76384128,0.7833333333333333,0.8347457627118644,4.880541455160746,4.80921985815603,1497,2.2,5.0,4.880541455160745,0.31198894383190534,4.866666666666666,5.0,5.0,52.39,13.3,10.6,11.95,13.1,8.71,13.0,11.79,48,12th and 13th grade,91.66,86.74,39.75,3.5,5.624026988156707
76380728,76380908,0.6388888888888888,0.625,4.941866666666668,4.930434782608695,1178,4.333333333333333,5.0,4.941866666666667,0.11469023013704742,4.933333333333334,5.0,5.0,56.05,10.7,9.2,11.65,11.8,8.64,6.75,8.94,30,8th and 9th grade,95.34,94.45,40.49,2.9,4.83195513564857
76384218,76384269,0.6739130434782609,0.6709401709401709,4.951592356687898,4.9494623655913985,1709,4.666666666666667,5.0,4.9515923566878985,0.08664917836558614,4.933333333333334,5.0,5.0,62.07,11.7,9.0,12.76,15.8,8.03,11.166666666666666,8.94,26,8th and 9th grade,98.89,94.47,38.29,2.9,4.062742185052375
76383839,76384284,0.7631578947368421,0.8008474576271186,4.842680776014109,4.787739463601534,1515,2.933333333333333,5.0,4.8426807760141095,0.36429518144602824,4.933333333333334,5.0,5.0,44.95,13.5,11.4,13.28,13.5,9.3,11.333333333333334,12.14,57,13th and 14th grade,86.68,86.04,37.37,3.5,5.855175662800564
76378670,76378715,0.7142857142857143,0.7171314741035857,4.957407407407407,4.928205128205129,1474,3.8,5.0,4.957407407407407,0.15230960815146818,5.0,5.0,5.0,75.0,8.7,6.1,9.44,9.3,7.01,7.142857142857142,6.96,28,6th and 7th grade,109.38,103.83,44.35,2.1,1.8680915932988515
76378383,76378734,0.7659574468085106,0.8407960199004975,4.970019723865876,4.9518518518518535,1193,4.4,5.0,4.970019723865878,0.07568620731568614,5.0,5.0,5.0,63.09,11.0,8.6,9.39,10.3,7.24,8.5,8.85,26,8th and 9th grade,99.91,96.33,44.31,2.7,2.9506797457772933
76380693,76380922,0.7346938775510204,0.7077922077922078,4.949847094801224,4.95,838,4.333333333333333,5.0,4.949847094801224,0.11392576344342559,5.0,5.0,5.0,59.98,12.7,11.8,6.27,15.2,7.51,15.0,12.63,11,12th and 13th grade,94.28,94.29,46.53,2.5,0.3560994899085168
76378708,76378750,0.7407407407407407,0.7906976744186046,4.965490196078432,4.942222222222224,1213,4.2,5.0,4.965490196078432,0.1020632968826198,5.0,5.0,5.0,67.89,11.4,8.8,7.6,11.2,7.14,14.5,9.66,23,7th and 8th grade,102.24,97.5,46.54,2.6,0.5328321645187373
