,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10201803937205502,0.1686709889546142,0.07732839854497127,0.11691308192170143
vocab_coverage,0.1186890198694308,0.20082260317036527,0.11772106541883208,0.17132475882068018
ave_readability,0.03775888471168743,0.041143350177735585,0.03068214047809719,0.03518353828428176
ave_readability2,0.03861245925205579,0.04204467926607671,0.025251761231240354,0.028365370811052764
length,1273.513,1462.263,2756.191,2532.365
min,0.5672,0.6954301075268816,0.3946666666666666,0.479346012679346
max,0.0,0.0,0.0,0.0
mean,0.03775888471168732,0.04114335017773544,0.030682140478097128,0.03518353828428165
std,0.08279392402477956,0.0997869864667308,0.06736709024813148,0.07943457615832408
q1,0.05351666666666667,0.053713037634408586,0.046783333333333316,0.05136803470136801
median,0.004499999999999992,0.0027889784946236525,0.0034666666666666604,0.0035702369035702304
q3,0.000549999999999999,0.00038642473118279434,0.00013333333333333285,0.00020020020020019948
FRE,25.183580000000003,31.30369,26.1624,33.31961
SMOGI,3.313,6.1484,1.9953,2.336
FKGL,4.359,5.1512,4.594600000000001,5.7135
CLI,7.015149999999999,9.289390000000001,7.05172,9.08657
ARI,8.4346,10.378,8.639700000000001,11.322799999999999
DCRS,2.0793900000000005,2.03261,3.0057300000000002,3.4603800000000002
LWF,4.829290442701806,5.348958475223981,4.220647553934643,3.997187673863734
GFI,3.5047699999999997,3.95621,3.3030399999999998,3.9943400000000002
DW,20.715,25.203,17.111,18.878
TS,4.262,4.251,4.429,4.96
FH,18.578480000000003,22.808619999999998,19.4761,24.71604
SP,18.885540000000002,23.07289,19.793290000000002,25.135480000000005
GP,12.187899999999999,15.3064,12.55369,16.3299
CF,1.3822,1.8459,1.3403,1.6395
NERF,2.9116540551247816,4.998088325281693,4.224306513795015,5.1753464632892765
