,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34507167075991874,0.03123183480783321,0.20175006389866745,0.1418583165501283
vocab_coverage,0.414328533088654,0.06818781775954379,0.2268109673617209,0.16609246328710373
ave_readability,0.3358863219925987,0.14522878043652254,0.27534680312378806,0.20463444507320258
ave_readability2,0.21995912252136005,0.11443215371566354,0.2175635437050642,0.18942442753431088
length,0.20331662964776673,0.056111852808006554,-0.06745616647567894,-0.055162312662432766
min,0.20322299781888456,0.10666542282061989,0.23606490320396223,0.1931350564951949
max,,,,
mean,0.33589907497807514,0.14524605486694284,0.275238161267434,0.20462153553379736
std,0.3064443939757234,0.15193795605750574,0.2797462316416622,0.19585609032300755
q1,0.2632039464305018,0.08522671190608404,0.15994416274224157,0.11595530869236828
median,0.0472737590370219,-0.011675591444616133,-0.027646800154693434,-0.031594606214533104
q3,,,,
FRE,0.4227804518706151,0.06854654549478764,0.07536713862008496,0.0219927246930415
SMOGI,0.2745559648838505,0.0719778733300166,0.12014694262317446,0.08191151489107983
FKGL,0.383874427016929,0.06611174185783393,0.1279296969840836,0.059944341375152047
CLI,0.47317885785446057,0.05893689007466869,0.10008266807632506,0.05100792481252984
ARI,0.35444417602391154,0.029674275844258538,0.056132615322092315,0.027835241728056414
DCRS,0.3221225237527889,0.06335199932027592,-0.04729433313095177,-0.03568970625085118
LWF,0.30043190427389826,0.08523003716030537,0.21582891142201188,0.09168062294179215
GFI,0.346821189436018,0.08984716406590001,0.15623491869168568,0.08217093866296013
DW,0.2623649857166233,0.11865496370294666,0.13270529761525957,0.11711259395524906
TS,0.2852983600314456,0.04520060228262305,0.03884863192785918,0.02907974832574078
FH,0.40966112842751395,0.06495005931607893,0.08795153648935138,0.030355427470000373
SP,0.4253785339567737,0.07317023458399322,0.14648203656321512,0.061935533011460216
GP,0.4461324467925549,0.04701173826078944,0.14519114734385058,0.07345783442502783
CF,0.44689430074791964,0.09384103699781103,0.16021773860505928,0.08083995726432197
NERF,0.24541893615519295,-0.00913147669295934,0.0526936756202445,0.024724466941480734
