,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6320722229516903
vocab_coverage,0.6283206280486663
ave_readability,4.905778486406041
ave_readability2,4.896094083566711
length,7286.648
min,3.6336000000000004
max,5.0
mean,4.905778486406041
std,0.20833547725040177
q1,4.912416666666668
median,4.997633333333333
q3,5.0
FRE,19.575030000000005
SMOGI,11.43
FKGL,13.8779
CLI,25.04603
ARI,25.3137
DCRS,6.22978
LWF,10.014292545135463
GFI,6.98195
DW,60.781
TS,11.57
FH,69.98541
SP,65.54409000000001
GP,18.088589999999996
CF,4.959200000000001
NERF,3.566102674158085
