QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.75,0.7857142857142857,4.954545454545453,4.938271604938272,1027,4.0,5.0,4.954545454545453,0.1138012272093569,4.933333333333334,5.0,5.0,52.19,12.2,10.7,11.66,14.8,8.11,12.4,9.97,25,11th and 12th grade,91.46,90.29,40.11,3.2,4.252646659220002
76378408,76378435,0.7142857142857143,0.7615384615384615,4.895622895622896,4.942666666666667,963,3.6666666666666665,5.0,4.895622895622898,0.3192530024378426,5.0,5.0,5.0,75.3,10.0,6.0,11.12,12.5,9.04,5.666666666666667,7.23,17,5th and 6th grade,109.68,104.26,41.69,2.1,5.219899514969336
76378340,76378439,0.5,0.5526315789473685,4.912169312169313,4.87485380116959,2143,4.0,5.0,4.912169312169313,0.22057337397949459,5.0,5.0,5.0,-12.49,10.9,16.9,34.93,31.2,11.21,3.5294117647058822,9.47,56,10th and 11th grade,48.99,42.48,1.19,6.2,6.421072437423126
76378344,76378496,0.6617647058823529,0.746031746031746,4.934751773049646,4.94962962962963,792,4.066666666666666,5.0,4.934751773049647,0.12640836799524144,4.866666666666666,5.0,5.0,48.7,11.5,10.0,12.87,13.7,9.09,8.142857142857142,8.12,21,9th and 10th grade,90.46,86.3,38.84,3.5,4.098978479811212
76378323,76378505,0.6056338028169014,0.7091836734693877,4.884892086330934,4.902325581395348,1408,3.8,5.0,4.884892086330932,0.31935243785146594,5.0,5.0,5.0,56.05,10.2,9.2,19.6,19.5,8.83,8.0,8.71,29,8th and 9th grade,95.34,91.67,27.21,3.1,6.267344931372307
76378468,76378523,0.7225806451612903,0.7811550151975684,4.923735408560311,4.898214285714287,1822,3.066666666666667,5.0,4.923735408560312,0.2103123138987558,4.933333333333334,5.0,5.0,80.72,8.8,6.0,8.06,8.7,7.56,5.375,7.75,32,8th and 9th grade,112.62,107.46,46.78,1.9,5.769407514076999
76378419,76378558,0.6388888888888888,0.6879699248120301,4.888524590163935,4.899516908212562,2031,3.8666666666666663,5.0,4.888524590163932,0.2766056670679354,4.933333333333334,5.0,5.0,51.65,10.4,8.8,18.54,19.0,8.56,5.6,6.44,42,8th and 9th grade,93.42,89.11,29.36,3.1,6.542762163326572
76383950,76384028,0.7272727272727273,0.7511961722488039,4.94692144373673,4.9333333333333345,1551,4.4,5.0,4.946921443736727,0.12079914453074307,4.933333333333334,5.0,5.0,48.91,12.2,9.9,12.58,13.0,7.48,7.375,8.64,30,12th and 13th grade,90.66,88.75,39.39,3.3,4.784613358333331
76380624,76380646,0.6475409836065574,0.676595744680851,4.9098532494758915,4.908016877637132,1575,4.4,5.0,4.909853249475889,0.15525068023155966,4.9,5.0,5.0,44.61,11.3,9.5,16.45,15.0,9.28,6.222222222222222,8.61,45,9th and 10th grade,88.84,86.74,32.88,3.2,6.315040614848977
76380600,76380785,0.7045454545454546,0.7119565217391305,4.9338422391857515,4.8956989247311835,1403,3.066666666666667,5.0,4.933842239185751,0.20185672212003564,4.933333333333334,5.0,5.0,47.49,12.4,10.4,16.93,17.5,8.15,12.4,8.98,31,8th and 9th grade,89.23,82.91,31.65,3.8,5.986560335469786
