,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10185658262541628,0.16584300870579288,0.08580062709640576,0.12037615542731621
vocab_coverage,0.11866348184282406,0.19912542435224806,0.13489472548477927,0.18432156670146702
ave_readability,0.03745616328573092,0.04117640459361208,0.0263807076825384,0.029610637654634925
ave_readability2,0.038074325222290775,0.042037322147197555,0.025287137504966247,0.027168920600107085
length,1276.129,1466.969,1067.657,1129.015
min,0.5672,0.6954301075268815,0.401599999999999,0.45659999999999884
max,0.0,0.0,0.0,0.0
mean,0.03745616328573085,0.041176404593612194,0.026380707682538328,0.0296106376546349
std,0.08254094395940258,0.09926191417493833,0.061904355951435834,0.06937696529264437
q1,0.051349999999999896,0.054267473118279265,0.035683333333333164,0.03963333333333314
median,0.004566666666666658,0.002856182795698921,0.001266666666666664,0.001266666666666664
q3,0.000549999999999999,0.00038642473118279434,0.0003999999999999995,0.0003999999999999995
FRE,25.16053999999997,31.160549999999997,21.776810000000008,24.763220000000008
SMOGI,3.312999999999999,6.14839999999999,2.0859999999999985,2.2388999999999992
FKGL,4.362800000000005,5.146999999999993,3.8471999999999964,4.129099999999996
CLI,7.001000000000013,9.265040000000003,6.223890000000009,7.767170000000004
ARI,8.420799999999998,10.3648,7.126199999999996,8.240000000000013
DCRS,2.0601099999999986,2.04985,1.9704400000000013,2.2418099999999987
LWF,4.85848357289855,5.358696627065737,4.443323335079959,4.505211216642832
GFI,3.5041500000000005,3.9548900000000047,3.0468100000000002,3.548770000000002
DW,21.168,25.9,14.234,16.413
TS,4.221,4.208,3.817,3.716
FH,18.584090000000003,22.734089999999952,16.093809999999994,17.876600000000014
SP,18.87539999999999,22.944210000000016,16.17522,18.262670000000007
GP,12.16270999999999,15.267310000000007,10.602889999999984,12.802620000000001
CF,1.3781999999999988,1.8360999999999985,1.1256000000000013,1.2889000000000008
NERF,2.950891558618362,5.081429560614867,4.080307362965163,5.257779205256543
