,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6156943936272788
vocab_coverage,0.5996716331674805
ave_readability,4.913907556748196
ave_readability2,4.909392499487771
length,1729.109
min,3.745666666666667
max,5.0
mean,4.913907556748197
std,0.2152015780973627
q1,4.942283333333335
median,4.9994000000000005
q3,5.0
FRE,42.35826
SMOGI,11.2284
FKGL,11.5573
CLI,16.65656
ARI,19.379199999999997
DCRS,9.82762
LWF,11.298087599560368
GFI,9.852229999999999
DW,32.226
TS,10.974
FH,85.10744
SP,81.51029999999999
GP,31.320449999999997
CF,3.5961999999999996
NERF,6.764675372341974
