,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01923120945428086,0.04920008362699844,0.053021530199158305,0.06224782698822953
vocab_coverage,0.02494080641447869,0.06593855626637725,0.0623380825047889,0.07114967182475238
ave_readability,0.003223758206150778,0.003968844127423913,0.007864936258102195,0.00892060836609855
ave_readability2,0.0028909912775831113,0.0036385246989858355,0.004643748038023597,0.005552343600786648
length,6412160.559,6745870.413,30234727.63,27839031.238
min,0.61772,0.8086648745519713,0.6181240981240982,0.644158342582316
max,0.0,0.0,0.0008369408369408372,0.0020569737328893826
mean,0.0032237582061507776,0.003968844127423908,0.007864936258102187,0.008920608366098539
std,0.013412679246462911,0.019694614548367913,0.021311651926144932,0.022323355829367324
q1,0.008024444444444452,0.008196684587813627,0.029391534391534403,0.027732457762979418
median,0.0008299999999999991,0.0004312275985663082,0.0043939393939393945,0.006946602540387223
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0024876743626743632,0.004388950548772969
FRE,1949.5437656999998,2549.258573,127490.2242082,131789.2482735
SMOGI,29.754080000000002,65.1583,45.36422,50.562059999999995
FKGL,76.41561999999999,69.27954000000001,3790.4621199999997,3879.2195
CLI,153.5217744,215.7090098,47740.5822472,48082.3828653
ARI,228.46711,255.77185,57914.63478,58257.71816999999
DCRS,10.2112022,10.136417600000001,748.4124250000003,786.4823278999996
LWF,76.48972497433718,84.08694352595633,144.78484167059162,167.82814943597413
GFI,57.966722399999995,36.70289,1561.7516105000002,1578.5568841
DW,1021.832,1201.86,717.812,774.787
TS,74.364,43.513,1765.955,2012.898
FH,1115.6483747999998,1346.6917833999998,69331.8652094,71497.67227399998
SP,1165.2845196,1363.4251758999997,72975.6674949,75169.1098902
GP,465.576981,595.5166125999999,135354.572941,136355.42222779998
CF,5.57963,9.12344,381.98508000000004,391.60735
NERF,15.988437054056986,34.870741181402344,638.4469434524851,876.671204168032
