,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.019696745999443745,0.05212337341783414,0.016861084806781224,0.02520098479295351
vocab_coverage,0.025198822746388225,0.06805280772834504,0.034078764561703605,0.0498745242324249
ave_readability,0.0032762757680971887,0.004111161949657253,0.001678807207998246,0.0019219675138641462
ave_readability2,0.0029313572491925202,0.003788642148147195,0.0017118141778590407,0.00181181836906201
length,6380466.209,6682526.463,4763318.617,5109061.663
min,0.61772,0.8086648745519713,0.37072888888888883,0.4252488888888889
max,0.0,0.0,0.0,0.0
mean,0.0032762757680971817,0.004111161949657249,0.0016788072079982467,0.0019219675138641432
std,0.013598371867181644,0.020055609479792662,0.007782378084819233,0.00933309008395051
q1,0.008088333333333341,0.0084655017921147,0.0047883333333333415,0.0049766666666666735
median,0.0008355555555555548,0.0004368279569892472,5.888888888888871e-05,5.888888888888871e-05
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0
FRE,1967.6600193,2505.8721935999997,1310.4072116,1539.7034107000002
SMOGI,29.168599999999998,63.312180000000005,14.84023,16.10677
FKGL,76.85335,68.41363,33.623979999999996,37.28925999999999
CLI,155.2700557,211.91829609999996,118.74263569999998,146.00576389999998
ARI,232.06499,247.81278999999998,138.43998000000002,168.77236
DCRS,10.1583059,10.2816753,3.9811123999999998,5.0874264
LWF,75.02402623015266,81.72409450528056,53.78026962547594,48.1637416427708
GFI,58.0087342,36.6918646,19.406722000000002,21.4975845
DW,1021.832,1201.86,679.083,736.233
TS,76.643,42.422,25.627,25.438
FH,1125.2444166,1324.7850693999999,679.6005266,786.3764521000002
SP,1181.0125449000002,1343.1659404,726.1767411000001,841.5143077
GP,471.67378879999995,586.1673748,346.733603,420.1194245000001
CF,5.61927,8.94886,3.6141500000000004,4.2342200000000005
NERF,15.272458957847414,31.714532579413845,13.156226301744926,19.482483496334847
