,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6156943936272792
vocab_coverage,0.5996716331674807
ave_readability,4.9139075567482
ave_readability2,4.909392499487775
length,1729.109
min,3.745666666666663
max,5.0
mean,4.913907556748199
std,0.21520157809736243
q1,4.942283333333355
median,4.9994000000000005
q3,5.0
FRE,42.35825999999998
SMOGI,11.228399999999997
FKGL,11.557299999999998
CLI,16.656559999999992
ARI,19.379199999999994
DCRS,9.827619999999982
LWF,11.298087599560363
GFI,9.852230000000015
DW,32.226
TS,10.974
FH,85.1074399999999
SP,81.51030000000004
GP,31.320450000000008
CF,3.5961999999999956
NERF,6.76467537234197
