QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.72,0.7368421052631579,4.885714285714286,4.901851851851851,512,4.0,5.0,4.885714285714286,0.21108724056477618,4.833333333333333,5.0,5.0,46.74,11.4,8.7,11.09,12.2,9.74,5.166666666666667,8.88,16,8th and 9th grade,90.99,88.11,41.06,2.7,5.158857942701202
76378408,76378435,0.7272727272727273,0.7870722433460076,4.879549114331722,4.933333333333334,1632,3.6666666666666665,5.0,4.879549114331723,0.3359405454197487,5.0,5.0,5.0,85.99,7.1,3.9,5.72,7.1,7.25,8.0,5.26,21,7th and 8th grade,117.93,118.14,51.04,0.8,4.212769020166331
76378340,76378439,0.4782608695652174,0.47435897435897434,4.881081081081081,4.878787878787879,1650,4.0,5.0,4.881081081081081,0.26378402993145605,4.933333333333334,5.0,5.0,-61.83,11.6,23.4,49.93,44.5,13.49,4.466666666666667,12.02,45,12th and 13th grade,14.41,4.37,-24.86,8.8,7.152759283493161
76378344,76378496,0.5,0.5,4.904964539007093,4.883950617283951,776,3.8666666666666663,5.0,4.904964539007093,0.21470511124453337,4.9,5.0,5.0,16.79,13.3,13.9,21.33,25.1,12.68,10.666666666666666,9.26,26,12th and 13th grade,68.4,66.65,24.9,5.0,8.015145754235578
76378323,76378505,0.5326633165829145,0.5873684210526315,4.915651135005973,4.912578616352202,4118,3.8,5.0,4.915651135005974,0.23040050527127187,4.933333333333334,5.0,5.0,13.31,11.2,13.2,29.82,29.5,10.6,3.5882352941176467,7.04,88,29th and 30th grade,67.39,60.55,9.45,4.7,9.5696966041053
76378468,76378523,0.7843137254901961,0.7980132450331126,4.954080221300137,4.932222222222223,1521,3.6,5.0,4.9540802213001385,0.13577703572710975,5.0,5.0,5.0,71.68,9.7,9.4,5.93,10.2,7.46,13.0,11.26,29,9th and 10th grade,103.54,103.19,48.2,2.0,4.180667859917627
76378419,76378558,0.6068965517241379,0.6371951219512195,4.869218500797447,4.8916666666666675,2588,3.066666666666667,5.0,4.869218500797449,0.30823169685373614,4.933333333333334,5.0,5.0,55.5,9.4,7.4,18.69,18.7,8.8,4.0,5.11,51,18th and 19th grade,97.29,92.06,28.51,2.3,9.351414160775187
76383950,76384028,0.7450980392156863,0.7391304347826086,4.969934640522877,4.968421052631579,545,4.733333333333333,5.0,4.969934640522876,0.06509751423784954,4.933333333333334,5.0,5.0,35.27,13.6,13.1,16.01,19.9,9.57,14.833333333333334,12.51,13,12th and 13th grade,79.46,73.07,32.9,4.5,4.715353788609933
76380624,76380646,0.6333333333333333,0.5477707006369427,4.898449612403102,4.892397660818713,1167,3.733333333333333,5.0,4.898449612403101,0.18930765853486525,4.8,5.0,5.0,27.79,10.9,11.8,17.61,15.9,10.01,5.7272727272727275,8.64,32,10th and 11th grade,76.95,75.01,30.99,4.1,6.745236583873702
76380600,76380785,0.6213592233009708,0.5425531914893617,4.921568627450981,4.893750000000001,1825,3.066666666666667,5.0,4.921568627450981,0.22509485092593007,4.933333333333334,5.0,5.0,30.02,11.5,10.9,24.03,22.7,10.04,4.0,8.35,43,10th and 11th grade,79.19,72.77,19.56,3.8,9.310100137681978
