QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.8333333333333334,0.9215915740198947,4.949968253968254,4.953333333333334,11559,4.666666666666667,5.0,4.949968253968255,0.09465335837385125,4.933333333333334,5.0,5.0,50.84,8.9,9.2,16.69,14.1,0.73,6.375,4.8,7,8th and 9th grade,92.6,90.84,32.75,3.1,-0.6456300060230569
76378408,76378435,0.8055555555555556,0.8270676691729323,4.915757575757575,4.948275862068965,915,3.6666666666666665,5.0,4.915757575757576,0.2819380650845465,5.0,5.0,5.0,84.47,8.8,4.5,8.51,9.2,7.74,8.0,6.85,15,8th and 9th grade,116.4,111.4,46.33,1.5,4.872738275644652
76378340,76378439,0.0,0.0,NaN,NaN,2516,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378344,76378496,0.7671232876712328,0.8415841584158416,4.940784313725491,4.93452380952381,1066,4.0,5.0,4.940784313725491,0.17087827495612196,4.933333333333334,5.0,5.0,76.45,8.2,7.6,6.38,8.4,6.83,11.4,9.04,20,7th and 8th grade,108.34,105.53,48.59,2.0,1.712535038402093
76378323,76378505,0.0,0.0,NaN,NaN,1836,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76378468,76378523,0.8085106382978723,0.8407460545193687,4.97155858930603,4.949122807017544,7392,4.733333333333333,5.0,4.971558589306029,0.05998006936688271,5.0,5.0,5.0,66.1,8.6,11.6,6.11,13.8,1.67,12.5,12.15,10,11th and 12th grade,97.93,96.41,46.47,2.2,-5.912194875333779
76378419,76378558,0.6521739130434783,0.7433808553971487,4.926666666666667,4.892222222222222,6475,3.8,5.0,4.926666666666668,0.17922036468325633,4.933333333333334,5.0,5.0,72.12,8.2,5.1,11.5,10.6,4.96,4.666666666666667,3.35,29,4th and 5th grade,108.99,104.75,40.41,1.4,1.0755825398058247
76383950,76384028,0.8243243243243243,0.8601694915254238,4.970443349753693,4.948633879781421,1356,4.4,5.0,4.970443349753695,0.10080122610781207,5.0,5.0,5.0,78.38,9.9,6.8,7.65,9.7,6.21,11.6,8.3,18,6th and 7th grade,110.28,105.0,46.68,2.0,-0.21514947301584453
76380624,76380646,0.5769230769230769,0.7083084279737,4.971926863572433,4.920000000000001,7926,4.2,5.0,4.971926863572433,0.13207383426861696,5.0,5.0,5.0,87.92,6.8,3.2,5.01,3.7,0.61,4.090909090909091,3.6,8,3rd and 4th grade,119.86,114.21,51.89,0.9,-3.1426411091914033
76380600,76380785,0.7692307692307693,0.5617886178861788,4.964785335262905,4.917777777777778,6387,3.066666666666667,5.0,4.9647853352629046,0.08960077292196143,4.933333333333334,5.0,5.0,80.88,7.9,3.8,8.08,8.4,0.79,8.666666666666666,3.34,19,7th and 8th grade,115.29,112.12,46.23,0.7,-0.7180077528310793
76378487,76378586,0.0,0.0,NaN,NaN,2489,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76380579,76380826,0.6486486486486487,0.7775496235455168,4.969131455399061,4.863888888888889,9755,3.6666666666666665,5.0,4.969131455399061,0.09030567077917702,5.0,5.0,5.0,52.53,13.8,12.6,12.94,18.2,1.56,15.0,10.94,13,12th and 13th grade,89.3,84.3,35.65,3.3,-1.3195170188894765
76383957,76384041,0.625,0.8235942668136714,4.974475680499777,4.923333333333333,5351,4.133333333333334,5.0,4.974475680499777,0.07146917338874224,5.0,5.0,5.0,66.44,10.6,7.3,11.53,11.2,5.27,10.285714285714286,6.16,32,10th and 11th grade,103.27,98.57,40.89,2.5,1.539240218419744
76383902,76384109,0.6083916083916084,0.521505376344086,4.935395189003436,4.915708812260536,4312,3.8,5.0,4.935395189003437,0.19251839340218935,5.0,5.0,5.0,28.37,15.1,15.7,16.25,23.8,8.6,10.5,11.87,39,15th and 16th grade,72.52,71.81,30.59,4.4,5.639375916798835
76378480,76378588,0.6329113924050633,0.7954802259887006,4.932291666666666,4.846666666666667,4231,3.8,5.0,4.932291666666666,0.2012402849935692,5.0,5.0,5.0,78.38,9.2,6.8,4.82,7.1,5.52,4.777777777777778,7.57,18,6th and 7th grade,110.28,108.99,51.85,1.7,-0.5702742239971785
76384080,76384128,0.8,0.905,4.948066298342541,4.9625,1179,4.6,5.0,4.948066298342542,0.10981990066943342,5.0,5.0,5.0,71.55,8.8,7.4,8.29,9.8,6.21,7.428571428571429,7.44,17,6th and 7th grade,105.91,103.53,46.16,2.2,0.027558880865386826
76380728,76380908,0.0,0.0,NaN,NaN,2675,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76384218,76384269,0.647887323943662,0.7655038759689923,4.930632911392405,4.915942028985508,3598,4.066666666666666,5.0,4.930632911392405,0.16423892234926915,4.933333333333334,5.0,5.0,46.47,12.7,10.8,13.63,14.4,5.74,10.833333333333334,7.5,26,10th and 11th grade,88.21,84.1,37.29,3.7,2.780952476300767
76383839,76384284,0.7922077922077922,0.658008658008658,4.878634085213033,4.869945355191257,9606,3.4,5.0,4.878634085213033,0.32916385643839996,4.933333333333334,5.0,5.0,71.04,9.2,7.6,11.54,13.2,1.21,11.4,7.01,22,7th and 8th grade,105.4,102.99,40.53,2.2,0.45683860291966205
76378670,76378715,0.6989247311827957,0.7611044417767107,4.960357518401682,4.963076923076923,4562,4.533333333333333,5.0,4.960357518401683,0.08919241858394267,5.0,5.0,5.0,84.17,8.3,4.6,6.48,7.0,5.09,6.857142857142857,5.26,18,6th and 7th grade,116.09,112.29,49.59,1.4,-0.43162152057546077
76378383,76378734,0.4344262295081967,0.49321266968325794,4.906422018348625,4.880503144654089,2607,3.2666666666666666,5.0,4.906422018348625,0.25383810424073405,4.933333333333334,5.0,5.0,2.85,15.4,17.2,28.24,30.5,12.49,7.857142857142858,12.72,60,12th and 13th grade,56.89,50.48,12.38,6.3,6.7037385629942
76380693,76380922,0.8333333333333334,0.8738512949039264,4.961822817080943,4.946666666666667,5766,4.666666666666667,5.0,4.961822817080944,0.0863778590224743,4.933333333333334,5.0,5.0,72.36,11.2,7.1,3.83,4.1,0.85,8.142857142857142,6.39,4,6th and 7th grade,106.72,105.36,53.89,2.0,-4.9105637744066355
76378708,76378750,0.7049180327868853,0.6730769230769231,4.946031746031746,4.934883720930233,895,4.466666666666667,5.0,4.946031746031745,0.12551531472407942,5.0,5.0,5.0,67.15,10.9,7.0,6.02,7.2,7.19,6.375,7.69,21,6th and 7th grade,103.99,97.71,50.33,2.6,2.2534060257694435
76383859,76384297,0.6271186440677966,0.44430217669654287,4.12507204610951,4.816216216216216,5281,3.0,5.0,4.12507204610951,0.8932928394175849,3.0,3.933333333333333,5.0,-149.47,40.7,77.8,32.45,109.0,13.47,24.333333333333332,71.16,24,77th and 78th grade,-98.69,-100.26,-47.56,6.8,103.26189948018245
76380850,76380929,0.620253164556962,0.626984126984127,4.933333333333335,4.9129251700680285,961,3.2666666666666666,5.0,4.933333333333334,0.20541200750444022,4.933333333333334,5.0,5.0,17.94,13.7,15.6,20.94,25.5,12.74,16.5,13.12,31,12th and 13th grade,67.05,60.27,24.51,5.5,7.493245759280898
76380934,76380982,0.7906976744186046,0.9198289684660609,4.9706372264187495,4.966666666666667,10595,4.733333333333333,5.0,4.9706372264187495,0.06302559902990314,5.0,5.0,5.0,81.9,7.2,3.4,5.97,5.5,0.46,4.363636363636363,2.63,10,5th and 6th grade,116.31,113.25,48.68,0.2,-3.380337337508818
