,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10201803937205507,0.16867098895461424,0.24746231854135095,0.26369865469210724
vocab_coverage,0.11868901986943067,0.20082260317036546,0.26220639746144075,0.2889206674529958
ave_readability,0.037758884711687375,0.0411433501777355,0.02737298231369275,0.029098732144234554
ave_readability2,0.0386124592520558,0.04204467926607679,0.026152976440926245,0.02712857884250613
length,1273.513,1462.263,1023.948,1113.719
min,0.5672,0.6954301075268815,0.3645833333333334,0.4053030303030302
max,0.0,0.0,0.0010416666666666656,0.0010416666666666656
mean,0.037758884711687486,0.04114335017773563,0.027372982313692607,0.029098732144234543
std,0.08279392402477956,0.0997869864667309,0.061187139681918495,0.06716094329353828
q1,0.053516666666666525,0.05371303763440833,0.03442234848484843,0.0361268939393939
median,0.004499999999999992,0.0027889784946236525,0.0023200757575757543,0.0020359848484848464
q3,0.000549999999999999,0.00038642473118279434,0.0011837121212121195,0.0011837121212121195
FRE,25.18358000000005,31.30369000000003,57.89384999999997,59.81103999999995
SMOGI,3.312999999999999,6.14839999999999,4.863000000000004,5.10880000000001
FKGL,4.359000000000005,5.1512,9.761699999999992,9.929699999999984
CLI,7.01515000000001,9.28939000000002,13.232370000000007,14.028820000000001
ARI,8.434600000000005,10.37799999999999,9.960300000000009,10.657400000000008
DCRS,2.07939,2.03261,4.043690000000001,4.142200000000001
LWF,4.829290442701802,5.3489584752239745,6.245829617076622,6.129585830307835
GFI,3.504769999999997,3.9562100000000022,4.701389999999999,4.7639300000000055
DW,20.715,25.203,18.538,20.318
TS,4.262,4.251,5.291,5.297
FH,18.578479999999992,22.808619999999998,42.91439999999998,44.11317
SP,18.88553999999999,23.072889999999994,35.09976000000004,36.37277
GP,12.1879,15.306400000000004,17.00733999999999,18.205139999999968
CF,1.382199999999999,1.8458999999999985,2.2284999999999973,2.340099999999995
NERF,2.9116540551247825,4.998088325281692,5.244346523195276,5.818948805504663
