,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10679073723178904,0.18665249136806233,0.09166703546945937,0.14681039413190744
vocab_coverage,0.12215125573122956,0.21842114425362819,0.12182487738141436,0.19662064976643195
ave_readability,0.03948288983909224,0.04481306366263345,0.029675417072284032,0.03439874017625244
ave_readability2,0.03993179100768947,0.0452156777809399,0.028292104709459507,0.0317126814766431
length,1235.017,1386.241,923.872,1158.229
min,0.569,0.6967741935483871,0.39773333333333327,0.4938
max,0.0,0.0,0.0,0.0
mean,0.03948288983909211,0.04481306366263345,0.029675417072283997,0.03439874017625233
std,0.08605892419422001,0.1053691839848429,0.0658971612162702,0.0795838807663754
q1,0.053633333333333345,0.05762768817204301,0.04051666666666668,0.04413333333333334
median,0.004799999999999992,0.0030241935483870924,0.0008333333333333312,0.0006999999999999984
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0
FRE,26.08137,32.255199999999995,20.918839999999996,24.9972
SMOGI,3.5101999999999998,6.1996,2.402,3.0855
FKGL,4.597899999999999,5.4825,3.7524,4.1685
CLI,7.29367,9.412049999999999,5.80163,7.4475
ARI,8.839900000000002,10.8549,7.0051000000000005,8.636599999999998
DCRS,2.10219,2.1403499999999998,1.43082,1.7265400000000002
LWF,5.444408100731771,6.100095073300826,4.954589646129958,5.122239548270302
GFI,3.6550199999999995,4.14356,2.8830599999999995,3.34217
DW,19.856,23.558,13.992,17.458
TS,4.427,4.46,3.309,3.401
FH,19.34288,23.72074,15.627690000000001,18.29727
SP,19.803549999999998,24.13538,15.78879,18.699879999999997
GP,12.64064,15.725439999999999,10.08018,12.64824
CF,1.4307,1.89,1.0908,1.2847
NERF,2.820566356759218,4.482677909896884,2.7173407945562893,4.248727343629
