QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7368421052631579,0.7058823529411765,4.934920634920634,4.909523809523809,759,4.0,5.0,4.934920634920635,0.15117745642394506,4.933333333333334,5.0,5.0,57.16,11.9,8.8,10.55,12.0,7.97,8.428571428571429,8.83,19,8th and 9th grade,96.46,92.92,42.7,3.0,3.838981785929735
76378408,76378435,0.7272727272727273,0.806930693069307,4.933333333333334,4.935714285714286,1113,3.6666666666666665,5.0,4.933333333333331,0.25591835780635996,5.0,5.0,5.0,80.31,8.8,6.1,7.31,8.6,7.1,8.333333333333334,8.36,22,8th and 9th grade,112.21,110.72,47.86,1.6,1.7340395310768733
76378340,76378439,0.7808219178082192,0.8505747126436781,4.972972972972973,4.953216374269006,1044,4.266666666666667,5.0,4.972972972972971,0.08728051419663325,5.0,5.0,5.0,66.67,11.0,9.3,9.86,13.2,7.84,11.2,10.67,27,10th and 11th grade,101.01,95.47,42.28,2.7,1.170848349166981
76378344,76378496,0.7788461538461539,0.8380566801619433,4.941062801932366,4.91851851851852,1491,4.133333333333334,5.0,4.941062801932361,0.12478364669343328,4.933333333333334,5.0,5.0,57.2,11.6,10.8,10.91,13.5,7.76,12.2,10.75,39,10th and 11th grade,93.99,91.27,40.73,3.0,2.637800910409199
76378323,76378505,0.7361111111111112,0.7763157894736842,4.942372881355933,4.930817610062893,887,3.733333333333333,5.0,4.942372881355933,0.18368794758894202,5.0,5.0,5.0,67.69,9.2,8.9,10.91,13.1,7.74,14.25,10.12,19,8th and 9th grade,102.03,100.58,40.91,2.3,2.8324310893762146
76378468,76378523,0.7184466019417476,0.8210116731517509,4.890995260663507,4.8819819819819825,1447,3.733333333333333,5.0,4.890995260663505,0.26921767470885555,4.9,5.0,5.0,71.04,8.6,7.6,7.94,8.9,7.14,5.111111111111111,7.78,24,7th and 8th grade,105.4,105.57,46.56,2.0,2.5079296191232334
76378419,76378558,0.75,0.8451612903225807,4.902290076335878,4.868148148148148,950,3.933333333333333,5.0,4.902290076335876,0.24258960691348008,5.0,5.0,5.0,58.52,11.2,10.3,12.24,14.5,7.78,9.0,10.33,23,9th and 10th grade,95.32,94.77,38.45,2.8,1.2892521725418833
76383950,76384028,0.8301886792452831,0.8333333333333334,4.938412698412699,4.877272727272726,731,3.4,5.0,4.938412698412701,0.19770005351921782,5.0,5.0,5.0,54.36,12.0,11.9,9.41,13.6,7.77,11.8,12.3,19,11th and 12th grade,91.14,90.66,42.27,2.9,1.35899514511505
76380624,76380646,0.7439024390243902,0.7120622568093385,4.931876138433516,4.89726775956284,1393,4.0,5.0,4.931876138433516,0.15300372971520684,5.0,5.0,5.0,59.6,10.4,7.9,10.54,9.0,6.7,6.875,6.65,26,6th and 7th grade,98.91,98.44,42.64,2.4,1.747468204568678
76380600,76380785,0.8032786885245902,0.853448275862069,4.957575757575758,4.942857142857143,746,4.466666666666667,5.0,4.957575757575759,0.10613273160859563,5.0,5.0,5.0,52.19,12.2,10.7,12.76,14.0,7.63,10.5,10.76,17,10th and 11th grade,91.46,88.37,38.26,3.3,2.4699771253434095
