,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6811827881760709
vocab_coverage,0.7176733218933853
ave_readability,4.9175550187731565
ave_readability2,4.894357389382139
length,1996.049
min,3.721
max,5.0
mean,4.9175550187731565
std,0.2036703885542428
q1,4.945950000000001
median,4.9998000000000005
q3,5.0
FRE,46.86889
SMOGI,12.6332
FKGL,11.6599
CLI,14.17168
ARI,17.038
DCRS,8.376199999999999
LWF,12.557089196914196
GFI,10.83888
DW,40.508
TS,11.551
FH,87.42330000000001
SP,84.0608
GP,35.26341
CF,3.5038
NERF,4.581935244560928
