QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7339449541284404,0.8264150943396227,4.9190258751902585,4.911666666666667,1624,3.8666666666666663,5.0,4.919025875190258,0.1803606085101845,4.933333333333334,5.0,5.0,46.57,13.8,10.8,11.13,11.2,7.49,8.714285714285714,9.41,38,10th and 11th grade,88.32,85.77,41.52,3.6,4.15683760676497
76378408,76378435,0.7777777777777778,0.988313856427379,4.949549549549549,4.895238095238095,3575,3.6666666666666665,5.0,4.949549549549549,0.16309168033192495,5.0,5.0,5.0,51.18,14.2,11.1,9.86,11.1,1.28,11.5,8.2,4,11th and 12th grade,90.44,90.04,42.79,3.2,-2.41589659393669
76378340,76378439,0.7910447761194029,0.8532818532818532,4.9692307692307685,4.955974842767297,1480,4.666666666666667,5.0,4.969230769230769,0.06873460548671477,5.0,5.0,5.0,54.26,14.8,12.0,9.29,13.8,6.58,8.833333333333334,12.18,18,11th and 12th grade,91.03,87.96,42.37,3.1,-1.312999610659734
76378344,76378496,0.7619047619047619,0.8881621975147155,4.933775159548356,4.958333333333334,8482,4.733333333333333,5.0,4.933775159548356,0.0996301514958802,4.933333333333334,5.0,5.0,87.72,8.8,3.3,6.06,4.0,0.53,4.545454545454546,3.65,4,3rd and 4th grade,119.66,114.58,50.04,0.9,-3.398683801704998
76378323,76378505,0.7777777777777778,0.8005181347150259,4.96504854368932,4.904761904761904,6138,3.8,5.0,4.965048543689321,0.08295177324579951,5.0,5.0,5.0,69.11,8.8,8.3,7.14,9.3,1.16,8.333333333333334,7.71,10,7th and 8th grade,103.46,102.75,47.72,2.2,-1.0334876128886736
76378468,76378523,0.8478260869565217,0.9116541353383458,4.885085910652921,4.835897435897436,6184,3.066666666666667,5.0,4.88508591065292,0.29561092226375496,4.933333333333334,5.0,5.0,66.37,10.3,9.4,9.17,11.7,1.3,8.166666666666666,8.79,12,8th and 9th grade,100.71,96.23,43.42,2.6,-2.4954677063677764
76378419,76378558,0.6666666666666666,0.8976608187134503,4.881650380021716,4.886666666666667,2206,3.933333333333333,5.0,4.881650380021715,0.33468762574747807,5.0,5.0,5.0,95.17,4.5,2.5,8.21,7.9,0.87,4.1,4.12,5,4th and 5th grade,124.64,120.99,46.6,0.5,-2.0079573411032627
76383950,76384028,0.7818181818181819,0.8095238095238095,4.968627450980394,4.941085271317831,589,4.466666666666667,5.0,4.968627450980392,0.08712592362038474,5.0,5.0,5.0,67.08,9.4,9.1,8.7,10.5,7.99,11.2,10.3,18,8th and 9th grade,101.42,100.99,44.43,2.3,1.9597920031975944
76380624,76380646,0.4857142857142857,0.45569620253164556,4.896632996632997,4.87843137254902,9813,4.466666666666667,5.0,4.896632996632997,0.1929739460962036,4.933333333333334,5.0,5.0,-114.11,13.3,31.1,57.03,53.9,4.87,6.166666666666667,3.84,18,12th and 13th grade,-23.13,-31.14,-35.78,12.1,1.1962158002561463
76380600,76380785,0.29411764705882354,0.3615916955017301,4.72950558213716,4.922666666666666,6728,4.333333333333333,5.0,4.729505582137162,0.24276061612591296,4.666666666666667,4.733333333333333,5.0,-110.05,11.3,29.6,54.92,58.8,7.02,6.090909090909091,7.33,62,6th and 7th grade,-19.05,-28.4,-37.29,9.4,53.71202374136215
76378487,76378586,0.0,0.0,NaN,NaN,2502,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76380579,76380826,0.8387096774193549,0.8685927306616962,4.970529327610872,4.971794871794871,5833,4.666666666666667,5.0,4.970529327610872,0.07726460997987294,5.0,5.0,5.0,78.99,9.7,6.6,6.73,7.8,1.01,8.5,7.11,6,6th and 7th grade,110.89,106.39,48.44,1.9,-3.3863351863209337
76383957,76384041,0.8048780487804879,0.93993993993994,4.969542066027689,4.888888888888889,2008,3.733333333333333,5.0,4.969542066027689,0.10562239973576143,5.0,5.0,5.0,88.02,7.5,3.1,7.57,5.2,4.88,5.111111111111111,4.32,12,4th and 5th grade,119.97,116.09,47.62,0.7,-0.8460634685063062
76383902,76384109,0.6014492753623188,0.5277044854881267,4.935999999999999,4.9156626506024095,2898,3.8,5.0,4.936,0.19296977310794908,5.0,5.0,5.0,33.78,15.7,15.7,15.85,24.6,8.5,13.2,13.03,37,15th and 16th grade,75.46,70.51,30.68,4.3,5.077642767356593
76378480,76378588,0.9473684210526315,0.9819639278557114,4.944897959183672,4.907407407407407,2466,4.4,5.0,4.944897959183673,0.13211192609391187,5.0,5.0,5.0,88.87,3.1,4.9,4.52,5.8,1.0,7.333333333333334,6.48,3,4th and 5th grade,118.32,118.37,52.53,1.0,-3.0502355155715515
76384080,76384128,0.8166666666666667,0.9032258064516129,4.936190476190475,4.933333333333333,962,4.533333333333333,5.0,4.936190476190475,0.12028311274191557,4.933333333333334,5.0,5.0,66.07,10.3,9.5,10.56,13.9,7.09,11.4,10.36,19,10th and 11th grade,100.4,95.84,40.95,2.7,-0.34219200032885055
76380728,76380908,0.38961038961038963,0.5469506292352372,4.9153982300884955,4.862222222222223,10083,3.6666666666666665,5.0,4.9153982300884955,0.23285847955634387,4.933333333333334,5.0,5.0,38.08,11.3,9.9,21.94,20.7,5.0,5.7272727272727275,3.89,20,9th and 10th grade,84.78,82.95,22.87,3.1,1.8480472939020718
76384218,76384269,0.6111111111111112,0.8440677966101695,4.952610441767068,4.912121212121213,1694,4.333333333333333,5.0,4.952610441767068,0.10393255655572996,4.933333333333334,5.0,5.0,77.57,6.1,7.2,6.62,9.5,5.63,9.0,7.88,13,6th and 7th grade,109.46,106.52,48.59,1.9,-4.675635122949228
76383839,76384284,0.8181818181818182,0.9074889867841409,4.73462783171521,4.703703703703704,2842,3.6,5.0,4.73462783171521,0.46590141440189325,4.8,5.0,5.0,-397.8,0.0,181.5,12.62,229.1,22.69,68.0,181.69,4,181st and 182nd grade,-358.25,-354.48,-111.21,5.0,22.980448964350128
76378670,76378715,0.7380952380952381,0.7243589743589743,4.974041297935104,4.976344086021506,905,4.733333333333333,5.0,4.974041297935104,0.07119357649953542,5.0,5.0,5.0,79.3,8.2,6.5,7.31,9.1,6.01,8.0,7.18,8,6th and 7th grade,111.19,109.23,47.54,1.7,-5.221471877511284
76378383,76378734,0.711864406779661,0.8486486486486486,4.960934182590234,4.966666666666667,1138,4.6,5.0,4.960934182590234,0.11212281861258762,5.0,5.0,5.0,62.72,11.2,10.8,11.73,15.9,7.21,10.6,12.15,20,10th and 11th grade,97.03,91.8,38.34,2.8,1.893250978440781
