,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.42832669983019145
vocab_coverage,0.44308857897286286
ave_readability,4.920042773590794
ave_readability2,4.905050152915644
length,1062.56
min,3.946666666666669
max,4.998941798941798
mean,4.920042773590793
std,0.18431788971721208
q1,4.938386243386255
median,4.996296296296296
q3,4.998015873015873
FRE,102.04021999999905
SMOGI,7.175199999999995
FKGL,1.9099999999999893
CLI,4.089300000000014
ARI,11.889200000000002
DCRS,6.269740000000006
LWF,7.241281650294154
GFI,6.908720000000003
DW,19.985
TS,7.302
FH,128.98537999999917
SP,51.84288999999998
GP,20.47193000000002
CF,2.009300000000001
NERF,1.47883952851956
