,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.018337569528319074,0.044182272111812894,0.10745765756480236,0.10889066793260757
vocab_coverage,0.02415222361460547,0.05923104177334871,0.11204961369274068,0.11468762305831003
ave_readability,0.003076107040735201,0.003546683614085192,0.00457970852182974,0.004741606430365298
ave_readability2,0.0027710614040652947,0.0033795287682829734,0.0030673765049872887,0.0031083845326609553
length,6513301.835,6940694.505,26104661.33,24133109.304
min,0.6145599999999991,0.8068189964157702,0.6592930573158712,0.6663613231552165
max,0.0,0.0,0.0001802563019293051,0.0001752897936104037
mean,0.0030761070407352015,0.0035466836140852095,0.004579708521829734,0.0047416064303652675
std,0.012562704955549987,0.018143152663355467,0.017211760607894196,0.017852688796865083
q1,0.008373055555555545,0.008040154569892459,0.016645894944374146,0.017137404580152796
median,0.0008077777777777759,0.00042226702508960584,0.0017955217574989414,0.0018419564602770687
q3,7.583333333333307e-05,4.6202956989246985e-05,0.00032601042106745435,0.0003360899067005927
FRE,1868.433594200001,2320.9553352999997,48655.29668650001,49245.83363470001
SMOGI,26.41524,61.853780000000036,64.31534000000002,66.47847999999998
FKGL,73.18932,59.188260000000064,3671.5158599999954,3693.9627099999975
CLI,145.98053869999995,200.28588730000018,4823.1919239000035,4866.474604000003
ARI,219.9266599999999,223.08426000000017,9751.289779999996,9816.80866
DCRS,10.206429300000012,9.436072500000009,74.16833290000001,73.2380835
LWF,56.80874635830801,56.42555855496289,260.7952181475079,259.3407467551776
GFI,56.13865749999995,31.265421900000025,3135.368857100004,3147.354762700002
DW,1063.903,1293.141,1031.801,1034.314
TS,73.696,38.077,2135.85,2173.671
FH,1070.380204400001,1208.5059561999988,35455.19295140002,35794.896815599976
SP,1115.7039179999995,1229.2866848999997,33857.295025700005,34193.17146980001
GP,444.38661999999914,545.5799553999999,15716.803871500017,15838.779513300013
CF,5.348900000000003,8.540109999999997,72.15598999999999,73.51600999999998
NERF,15.284716411803009,35.716693518020854,5189.283921629918,5191.553642211805
