,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.723315847386378
vocab_coverage,0.7808575493720817
ave_readability,4.928955465023766
ave_readability2,4.907082423571224
length,1441.986
min,3.7757333333333336
max,5.0
mean,4.928955465023767
std,0.18197826545262408
q1,4.956616666666667
median,5.0
q3,5.0
FRE,60.37678
SMOGI,11.768699999999999
FKGL,9.918099999999999
CLI,10.299400000000002
ARI,12.624600000000001
DCRS,8.23798
LWF,11.448112481962482
GFI,11.012259999999998
DW,38.375
TS,10.293
FH,96.83205000000002
SP,93.75623
GP,41.857870000000005
CF,2.825
NERF,3.7163749224183875
