,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34507167075991874,0.03123183480783321,0.4781973573719651,0.2518099424113536
vocab_coverage,0.414328533088654,0.06818781775954379,0.4807945049795427,0.27611877799753926
ave_readability,0.33586212603189686,0.1452315510103716,0.5134003188349887,0.4060072853356257
ave_readability2,0.2198167486512342,0.11432033053566512,0.4508056281642347,0.3570018885819042
length,0.20331662964776673,0.056111852808006554,0.48138103631376217,0.2584744112834138
min,0.20322299781888456,0.10666542282061989,0.4126775730001006,0.2946117385423678
max,,,,
mean,0.33595029603084126,0.1452702399759604,0.5134090872020414,0.40601963732123103
std,0.30644934906196947,0.15193795605750574,0.5017515457515458,0.3885427725427726
q1,0.2632039464305018,0.08522671190608404,0.43341748787410816,0.31945992013247315
median,0.0472737590370219,-0.011675591444616133,-0.005507501008671091,-0.005507501008671091
q3,,,,
FRE,0.4227804518706151,0.06854654549478764,0.5299373315187761,0.3256695811256617
SMOGI,0.2745559648838505,0.0719778733300166,0.4948664403708298,0.3343187353104946
FKGL,0.383874427016929,0.06611174185783393,0.47960246261088063,0.2742078786128782
CLI,0.47317885785446057,0.05893689007466869,0.5706069814576749,0.35397392152217405
ARI,0.35444417602391154,0.029674275844258538,0.46395157473658244,0.2585902094187808
DCRS,0.3221225237527889,0.06335199932027592,0.31164644466662933,0.1433962664591799
LWF,0.30043190427389826,0.08523003716030537,0.39273069852808096,0.30074553782163194
GFI,0.346821189436018,0.08984716406590001,0.4107795934823906,0.23511213686152857
DW,0.2623649857166233,0.11865496370294666,0.5312156096066016,0.3417149263175998
TS,0.2852983600314456,0.04520060228262305,0.3500791016838222,0.22674148905201705
FH,0.40966112842751395,0.06495005931607893,0.514687207147304,0.31030904090439143
SP,0.4253785339567737,0.07317023458399322,0.531821416846231,0.33241266561445704
GP,0.4461324467925549,0.04701173826078944,0.5396136531949942,0.3205793401196671
CF,0.44689430074791964,0.09384103699781103,0.5892172825937838,0.39683549622676084
NERF,0.24541893615519295,-0.00913147669295934,0.3382716382716383,0.05677317277317278
