,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01923120945428086,0.04920008362699844,0.039953302051187294,0.05870345402633818
vocab_coverage,0.02494080641447869,0.06593855626637725,0.048114580331925075,0.07690323822713736
ave_readability,0.003223758206150781,0.003968844127423912,0.003915630970774725,0.004074605630295395
ave_readability2,0.00289099127758311,0.003638524698985832,0.002847501316668528,0.0032772728531174767
length,6412160.559,6745870.413,27545117.306,21376711.847
min,0.61772,0.8086648745519713,0.6071324296141815,0.7362758294958083
max,0.0,0.0,0.0005051558336229875,0.000566772936592278
mean,0.0032237582061507776,0.003968844127423908,0.003915630970774719,0.00407460563029539
std,0.013412679246462911,0.019694614548367913,0.016764384697952557,0.019373136540726907
q1,0.008024444444444452,0.008196684587813627,0.010045185957594724,0.007562581178415403
median,0.0008299999999999991,0.0004312275985663082,0.0009210983663538408,0.0008088322115952298
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0005619279341907084,0.0006234502302515057
FRE,1949.5437656999998,2549.258573,31124.476142400003,30838.7488068
SMOGI,29.754080000000002,65.1583,33.52503,45.05954
FKGL,76.41561999999999,69.27954000000001,1883.8060500000001,1760.2761999999998
CLI,153.5217744,215.7090098,3252.3829699,3340.7070320000003
ARI,228.46711,255.77185,18854.5185,20692.77019
DCRS,10.2112022,10.136417600000001,59.0183398,75.60970329999999
LWF,76.48972497433718,84.08694352595633,97.85550118009391,119.22092322623442
GFI,57.966722399999995,36.70289,1553.2603904999999,1409.0743548999997
DW,1021.832,1201.86,687.792,853.286
TS,74.364,43.513,796.127,531.373
FH,1115.6483747999998,1346.6917833999998,20671.0090885,20059.796539900002
SP,1165.2845196,1363.4251758999997,20778.246922399998,20178.4524074
GP,465.576981,595.5166125999999,10166.1494188,10278.865274
CF,5.57963,9.12344,68.16647999999999,70.65615
NERF,15.988437054056986,34.870741181402344,311.0233875658148,390.789321159329
