,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34492325629408344,0.031927929940396484,0.48050545441009124,0.26901179238714534
vocab_coverage,0.4138761537795672,0.06800376101624171,0.3040309150206681,0.1615684867590249
ave_readability,0.3368523661098535,0.14522763287752996,0.3810899605833732,0.30090687643948816
ave_readability2,0.2210013440387111,0.11440078210777248,0.2525549212105407,0.18436564198059732
length,0.20331662964776673,0.056111852808006554,-0.2181551062385215,-0.2580148402908362
min,0.20322299781888456,0.10666542282061989,0.2667108199156017,0.19154537532912205
max,,,,
mean,0.3369197805045026,0.14504643351644225,0.3810829409062443,0.30094270944316925
std,0.3065574941034134,0.15204799501153363,0.40601897801897796,0.30619050619050625
q1,0.28843540888926944,0.11302068507465421,0.22751912145886144,0.1683533576703553
median,0.0411559627577507,-0.012796453755033271,-0.00800117929918993,0.1117464550635925
q3,,,,
FRE,0.4263204037423694,0.06606834824555957,0.30486127304713384,0.1836651100086869
SMOGI,0.2745559648838505,0.0719778733300166,0.25526657449449014,0.18962204026430118
FKGL,0.3860705819541602,0.0681144868945126,0.27432735598685065,0.16858101707466885
CLI,0.47374020159782043,0.05842559715104642,0.3003271614749784,0.18357367355493562
ARI,0.3543345830642611,0.02989232123401479,0.2328933613994485,0.11854693042078408
DCRS,0.32068443730248375,0.06385699616421191,0.09299159461427241,0.039268182075967765
LWF,0.29767466008309373,0.08503678363979279,0.2987974042476706,0.21093081619459636
GFI,0.3465328274040892,0.08937067256802553,0.26247641565132795,0.19588510373625087
DW,0.2629023949241971,0.11901915383436493,0.17673141635711967,0.05294779361984683
TS,0.27388156630115695,0.05265711041633851,0.1479901476201301,0.11448385929783976
FH,0.41311665711793893,0.0642251298613635,0.2884860794748307,0.17078884180208226
SP,0.4252145247472004,0.07316043238436509,0.3004881386278836,0.19263492857283968
GP,0.44617708613284085,0.046709179479978755,0.2831999526575087,0.1666691271715721
CF,0.4466861193396672,0.0929726822441577,0.3532509410121148,0.24490225824450174
NERF,0.24555492029158502,-0.00926569085012412,0.2951755511755512,0.18627913827913828
