,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6837438595902959
vocab_coverage,0.7305196364218927
ave_readability,4.917068312984185
ave_readability2,4.892149077478637
length,1380.164
min,3.8374
max,5.0
mean,4.917068312984185
std,0.19769925705794977
q1,4.938616666666667
median,4.999933333333334
q3,5.0
FRE,48.46426
SMOGI,12.4749
FKGL,11.044199999999998
CLI,13.40458
ARI,14.961400000000001
DCRS,8.96577
LWF,11.356446187146187
GFI,11.004990000000001
DW,37.293
TS,11.214
FH,89.02902
SP,85.64269999999999
GP,37.000870000000006
CF,3.4629000000000003
NERF,4.656282867847453
