,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10201803937205502,0.1686709889546142,0.15024383145254552,0.15860814730957395
vocab_coverage,0.1186890198694308,0.20082260317036527,0.17226086694641668,0.18138738212375996
ave_readability,0.037758884711687375,0.041143350177735495,0.04078541044169361,0.04198213134526742
ave_readability2,0.03861245925205579,0.042044679266076725,0.03042685402004499,0.03337297179833094
length,1273.513,1462.263,4905.439,4128.201
min,0.5672,0.6954301075268816,0.4073029645697759,0.4514721919302072
max,0.0,0.0,0.0005784526391901662,0.0005089058524173029
mean,0.03775888471168732,0.04114335017773544,0.040785410441693565,0.041982131345267445
std,0.08279392402477956,0.0997869864667308,0.08046861677503878,0.08587200532283006
q1,0.05351666666666667,0.053713037634408586,0.05477223427331886,0.05052708106143219
median,0.004499999999999992,0.0027889784946236525,0.008496023138105562,0.007233733187931655
q3,0.000549999999999999,0.00038642473118279434,0.002838033261026753,0.0029625590694292974
FRE,25.183580000000003,31.30369,139.88834999999997,142.85842
SMOGI,3.313,6.1484,3.6187,3.9523999999999995
FKGL,4.359,5.1512,25.0405,25.297900000000002
CLI,7.015149999999999,9.289390000000001,40.624410000000005,42.82946000000001
ARI,8.4346,10.378,50.5811,52.1533
DCRS,2.0793900000000005,2.03261,8.77678,8.738560000000001
LWF,4.829290442701806,5.348958475223981,6.252159158501396,5.960188772121499
GFI,3.5047699999999997,3.95621,11.30254,10.968620000000001
DW,20.715,25.203,17.501,19.048
TS,4.262,4.251,12.803,12.219
FH,18.578480000000003,22.808619999999998,105.71409,107.62968
SP,18.885540000000002,23.07289,105.59594,107.51054
GP,12.187899999999999,15.3064,72.51272999999999,75.83134999999999
CF,1.3822,1.8459,6.587,6.8306000000000004
NERF,2.9116540551247816,4.998088325281693,11.911180415591119,12.50202407969099
