,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.713592457208955
vocab_coverage,0.7361711301659432
ave_readability,4.928500055430404
ave_readability2,4.916877651046269
length,3291.358
min,3.9460126793460124
max,5.0
mean,4.928500055430405
std,0.17320738164683372
q1,4.952135468802137
median,4.9968301634968295
q3,4.9997997997998
FRE,52.10012
SMOGI,10.622200000000001
FKGL,10.585400000000002
CLI,13.4787
ARI,15.807099999999998
DCRS,6.592029999999999
LWF,9.806060236598212
GFI,9.28028
DW,30.115
TS,10.202
FH,91.5495
SP,88.07683999999999
GP,36.048410000000004
CF,2.9678
NERF,2.319380964783128
