,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6328671572972303
vocab_coverage,0.6171463900507358
ave_readability,4.917766401790165
ave_readability2,4.9110740525690035
length,1809.109
min,3.7429333333333332
max,5.0
mean,4.917766401790166
std,0.20725393809874249
q1,4.9442
median,4.999533333333334
q3,5.0
FRE,44.193529999999996
SMOGI,11.336799999999998
FKGL,11.0603
CLI,16.48446
ARI,18.5383
DCRS,9.818190000000001
LWF,9.892133712039595
GFI,9.19016
DW,35.726
TS,10.615
FH,86.70137
SP,83.13708
GP,31.90618
CF,3.5295
NERF,7.217294639896624
