QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7457627118644068,0.7708333333333334,4.912612612612613,4.878787878787879,615,4.0,5.0,4.912612612612612,0.19511317288002974,4.933333333333334,5.0,5.0,50.23,11.8,9.4,11.76,12.4,9.46,8.285714285714286,10.04,23,11th and 12th grade,91.99,90.9,40.76,3.1,6.206599087549474
76378408,76378435,0.7555555555555555,0.7954545454545454,4.887142857142858,4.8921568627450975,1188,3.6666666666666665,5.0,4.887142857142858,0.30849315585744264,5.0,5.0,5.0,73.27,10.2,6.7,11.07,12.3,8.52,8.666666666666666,8.89,27,8th and 9th grade,107.64,102.65,41.6,2.2,5.0700419946955755
76378340,76378439,0.5617977528089888,0.6944444444444444,4.943555555555556,4.909333333333333,1824,4.0,5.0,4.943555555555556,0.17362994564501644,5.0,5.0,5.0,34.76,12.7,13.3,19.78,21.2,9.14,13.2,11.9,41,12th and 13th grade,78.95,75.83,26.39,4.3,4.05495881606296
76378344,76378496,0.6483516483516484,0.6958762886597938,4.910123456790124,4.864406779661018,1408,3.8666666666666663,5.0,4.910123456790124,0.1887918737385079,4.9,5.0,5.0,36.79,13.2,12.5,15.66,18.6,10.1,10.5,11.11,48,10th and 11th grade,80.99,79.33,33.48,4.1,5.868895982481423
76378323,76378505,0.5952380952380952,0.6995305164319249,4.897539149888144,4.932,1483,3.8,5.0,4.897539149888143,0.3074538568952818,5.0,5.0,5.0,58.89,9.2,8.1,16.11,15.2,8.75,6.75,7.11,29,8th and 9th grade,98.19,96.97,33.49,2.6,4.981544786252769
76378468,76378523,0.7698412698412699,0.8235294117647058,4.906766917293233,4.897594501718215,1849,3.733333333333333,5.0,4.906766917293233,0.19755224760707535,4.866666666666666,5.0,5.0,70.43,10.3,7.8,8.87,9.9,7.34,7.2857142857142865,9.09,39,7th and 8th grade,104.79,100.25,44.78,2.4,3.784512933198365
76378419,76378558,0.6071428571428571,0.6583629893238434,4.8385585585585575,4.877450980392157,2415,3.8666666666666663,5.0,4.838558558558558,0.32189803147424084,4.933333333333334,5.0,5.0,46.03,10.4,8.9,22.93,24.2,9.53,6.444444444444445,6.1,49,9th and 10th grade,90.27,84.05,21.52,3.2,8.10856693611111
76383950,76384028,0.6730769230769231,0.8133333333333334,4.924590163934426,4.868571428571429,1401,4.2,5.0,4.924590163934426,0.1589929188539308,4.933333333333334,5.0,5.0,48.3,11.7,10.1,12.58,11.4,8.65,8.571428571428571,10.41,50,10th and 11th grade,90.05,87.58,39.18,3.4,4.105323964326562
76380624,76380646,0.6875,0.7235772357723578,4.90936329588015,4.859740259740262,1458,4.266666666666667,5.0,4.9093632958801505,0.15230142627554946,4.816666666666666,5.0,5.0,56.66,11.8,9.0,11.65,10.5,8.81,6.0,10.8,54,8th and 9th grade,95.95,91.57,40.75,3.1,3.4882211029055243
76380600,76380785,0.7222222222222222,0.7724867724867724,4.92420091324201,4.897435897435897,1216,3.066666666666667,5.0,4.92420091324201,0.24583348573465455,4.933333333333334,5.0,5.0,59.6,11.3,7.9,11.12,10.9,8.19,7.5,9.02,33,7th and 8th grade,98.91,93.71,41.62,2.8,4.234865589794296
76378487,76378586,0.6323529411764706,0.6506849315068494,4.945263157894738,4.924031007751938,812,3.8,5.0,4.945263157894737,0.19199876884800723,5.0,5.0,5.0,52.06,11.7,14.9,7.61,17.5,8.95,26.5,15.44,15,14th and 15th grade,86.32,85.69,42.06,2.7,2.7623306171455395
76380579,76380826,0.7647058823529411,0.8405797101449275,4.891570881226052,4.890256410256411,1259,3.6,5.0,4.891570881226054,0.27472119343102847,4.933333333333334,5.0,5.0,56.89,13.6,11.0,10.39,13.9,7.86,13.0,11.83,29,13th and 14th grade,93.69,90.11,41.48,3.1,2.1192508578239453
76383957,76384041,0.71875,0.7472527472527473,4.912745098039215,4.868599033816425,1126,4.133333333333334,5.0,4.912745098039216,0.18409196087192434,4.933333333333334,5.0,5.0,39.87,14.6,13.4,12.42,14.2,9.28,11.6,14.61,46,14th and 15th grade,81.58,79.0,38.04,4.0,3.389358790213196
76383902,76384109,0.620253164556962,0.5865384615384616,4.882513661202186,4.877551020408164,1691,3.8,5.0,4.882513661202186,0.2646168868532525,5.0,5.0,5.0,27.86,14.8,15.9,15.73,22.6,9.06,34.0,12.48,29,15th and 16th grade,72.01,71.19,31.28,4.4,3.7677148872744075
76378480,76378588,0.7804878048780488,0.8391959798994975,4.900598802395209,4.889583333333334,1132,3.933333333333333,5.0,4.90059880239521,0.19696543677845,4.866666666666666,5.0,5.0,58.01,12.5,10.5,10.1,12.1,7.72,12.6,10.5,27,10th and 11th grade,94.81,93.76,41.91,2.8,3.307311053568231
76384080,76384128,0.8142857142857143,0.8543046357615894,4.885271317829457,4.867836257309943,1018,4.266666666666667,5.0,4.8852713178294564,0.1660145888146489,4.8,5.0,5.0,53.81,10.7,10.1,12.64,14.8,8.59,7.142857142857142,8.69,27,8th and 9th grade,93.09,89.96,38.6,3.2,4.3414560062836145
76380728,76380908,0.625,0.6458333333333334,4.930645161290323,4.9077777777777785,1241,3.8666666666666663,5.0,4.930645161290323,0.15482657509201417,4.933333333333334,5.0,5.0,38.62,13.0,11.8,15.6,14.8,9.07,10.142857142857142,10.21,32,11th and 12th grade,82.83,78.39,34.19,4.2,4.994643805528291
76384218,76384269,0.6346153846153846,0.7168141592920354,4.934156378600823,4.892929292929293,1701,3.2666666666666666,5.0,4.934156378600823,0.17228993560454017,4.933333333333334,5.0,5.0,37.0,14.8,12.4,15.25,17.3,9.3,14.2,11.94,46,11th and 12th grade,81.19,78.53,34.24,4.1,5.473653762812592
76383839,76384284,0.7721518987341772,0.8352941176470589,4.85680751173709,4.849180327868853,1081,3.6,5.0,4.85680751173709,0.3456818064421039,4.933333333333334,5.0,5.0,50.57,14.2,11.3,13.81,14.9,8.87,11.666666666666666,11.88,36,11th and 12th grade,89.83,83.89,35.95,3.6,4.18051422841901
76378670,76378715,0.7121212121212122,0.7054263565891473,4.97948717948718,4.967375886524823,760,4.466666666666667,5.0,4.9794871794871804,0.07375655940602616,5.0,5.0,5.0,70.73,10.0,7.7,10.03,11.7,7.86,11.4,8.93,15,7th and 8th grade,105.09,102.59,42.91,2.2,0.33265708005403116
76378383,76378734,0.6619718309859155,0.8,4.946296296296297,4.919148936170214,868,4.266666666666667,5.0,4.946296296296297,0.1386170178607359,5.0,5.0,5.0,53.55,12.7,12.3,12.13,17.4,9.78,15.25,14.4,33,12th and 13th grade,90.32,85.47,37.45,3.3,2.635321080338966
76380693,76380922,0.7164179104477612,0.8208092485549133,4.944131455399061,4.905555555555556,929,4.133333333333334,5.0,4.94413145539906,0.15293422726174752,5.0,5.0,5.0,66.67,12.6,9.3,6.21,9.9,7.65,10.166666666666666,11.37,24,9th and 10th grade,101.01,96.2,48.41,2.7,0.6847873399607245
76378708,76378750,0.6708860759493671,0.7012987012987013,4.944444444444444,4.889308176100629,1416,3.066666666666667,5.0,4.9444444444444455,0.1756430474278426,4.933333333333334,5.0,5.0,54.52,13.1,9.8,9.22,10.8,7.88,7.5,10.18,39,9th and 10th grade,93.81,90.52,44.57,3.2,3.07457013662519
76383859,76384297,0.7227722772277227,0.746606334841629,4.914747474747474,4.888584474885844,1332,3.4,5.0,4.914747474747475,0.21768143143425486,4.933333333333334,5.0,5.0,44.27,13.8,13.7,11.03,16.4,8.8,15.25,13.34,36,13th and 14th grade,83.5,78.77,38.97,3.8,3.8646630506057837
76380850,76380929,0.6419753086419753,0.7215189873417721,4.9189083820662765,4.892307692307693,1695,3.2666666666666666,5.0,4.918908382066277,0.27581737005788337,4.933333333333334,5.0,5.0,37.03,14.9,14.5,13.18,18.7,8.41,11.0,12.67,36,14th and 15th grade,78.73,73.2,35.77,4.3,5.044534168503608
76380934,76380982,0.6611570247933884,0.7683397683397684,4.9447236180904515,4.920833333333334,1518,4.266666666666667,5.0,4.944723618090452,0.11577823531048792,4.933333333333334,5.0,5.0,63.7,11.2,8.4,9.97,9.6,8.56,7.7142857142857135,9.68,46,9th and 10th grade,100.52,96.9,43.56,2.7,4.70703554273727
76378592,76378760,0.7349397590361446,0.7777777777777778,4.960000000000001,4.9322404371584705,997,4.333333333333333,5.0,4.960000000000001,0.1019803902718557,5.0,5.0,5.0,60.45,12.1,9.6,8.41,10.5,8.06,12.8,10.92,25,10th and 11th grade,97.26,93.62,45.52,2.9,3.8151028561791573
76383945,76384326,0.6666666666666666,0.673202614379085,4.889967637540454,4.826388888888888,1079,3.066666666666667,5.0,4.889967637540453,0.26871522810928977,4.9,5.0,5.0,52.8,13.6,10.5,14.39,16.5,9.17,11.333333333333334,10.35,28,10th and 11th grade,92.07,87.17,35.78,3.4,7.0360988974512
76380868,76380985,0.6219512195121951,0.6911764705882353,4.937588652482271,4.905882352941176,1508,4.133333333333334,5.0,4.93758865248227,0.1843717021883926,5.0,5.0,5.0,56.15,12.0,9.2,16.99,17.2,8.4,13.6,9.8,32,9th and 10th grade,95.44,90.56,31.67,3.2,5.2831504635034285
76380847,76380988,0.71900826446281,0.8203125,4.928888888888888,4.906513409961686,1448,3.6,5.0,4.928888888888888,0.2148491123869829,5.0,5.0,5.0,56.39,12.9,11.2,9.29,12.1,8.13,12.8,12.89,43,12th and 13th grade,93.18,93.01,43.15,2.8,3.2591079450803004
76384211,76384348,0.7676767676767676,0.8391959798994975,4.911377245508982,4.8570175438596515,1347,3.8,5.0,4.911377245508982,0.18201841845963607,4.933333333333334,5.0,5.0,29.38,17.6,15.3,15.96,18.2,9.49,15.0,16.79,52,14th and 15th grade,73.54,67.87,31.42,4.7,4.904309043187402
76378628,76378769,0.5714285714285714,0.6875,4.94331550802139,4.936274509803922,1698,4.466666666666667,5.0,4.943315508021391,0.11410427589934982,4.933333333333334,5.0,5.0,54.32,10.1,9.9,13.11,14.6,9.21,11.0,8.79,39,9th and 10th grade,93.6,92.12,37.99,3.1,6.713450536864698
