,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.018337569528319074,0.044182272111812894,0.012530087924017781,0.024848405879837283
vocab_coverage,0.02415222361460547,0.05923104177334871,0.023208650246866365,0.0470110972753041
ave_readability,0.0030761070407351976,0.0035466836140851925,0.0013636301759736365,0.001801637676698103
ave_readability2,0.0027710614040652956,0.0033795287682829773,0.0009885483111099873,0.001266113438440362
length,6513301.835,6940694.505,3990069.162,4212469.89
min,0.6145599999999991,0.8068189964157702,0.36717333333333385,0.48339555555555624
max,0.0,0.0,0.0,0.0
mean,0.0030761070407352015,0.0035466836140852095,0.001363630175973646,0.0018016376766981205
std,0.012562704955549987,0.018143152663355467,0.007409738610708556,0.0100561921415731
q1,0.008373055555555545,0.008040154569892459,0.0036841666666666555,0.004139722222222206
median,0.0008077777777777759,0.00042226702508960584,7.55555555555555e-05,7.55555555555555e-05
q3,7.583333333333307e-05,4.6202956989246985e-05,0.0,0.0
FRE,1868.433594200001,2320.9553352999997,899.2810013,1261.5006368999993
SMOGI,26.41524,61.853780000000036,7.167779999999995,11.199779999999993
FKGL,73.18932,59.188260000000064,31.42084999999999,36.477299999999985
CLI,145.98053869999995,200.28588730000018,95.48235650000005,135.4288936000001
ARI,219.9266599999999,223.08426000000017,154.22127999999992,190.35087
DCRS,10.206429300000012,9.436072500000009,4.899938200000009,6.96125249999999
LWF,56.80874635830801,56.42555855496289,32.69726536274721,28.021661982337516
GFI,56.13865749999995,31.265421900000025,22.64880520000002,24.72276919999999
DW,1063.903,1293.141,448.912,622.605
TS,73.696,38.077,34.893,34.946
FH,1070.380204400001,1208.5059561999988,496.94637300000073,661.5035497999999
SP,1115.7039179999995,1229.2866848999997,516.5378713000008,694.6500389999995
GP,444.38661999999914,545.5799553999999,274.9163868000002,378.27132239999986
CF,5.348900000000003,8.540109999999997,2.4972000000000034,3.5404100000000023
NERF,15.284716411803009,35.716693518020854,28.68535625217103,43.64031435722598
