QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.6744186046511628,0.7038432554634514,4.919057815845824,4.895785440613028,9282,4.0,5.0,4.919057815845824,0.1684229158956653,4.933333333333334,5.0,5.0,42.78,13.3,10.2,13.38,13.9,5.11,17.75,5.6,57,13th and 14th grade,87.01,84.04,37.88,3.6,2.1485110525851567
76378408,76378435,0.6909090909090909,0.8036605657237936,4.924223602484472,4.905847953216375,10490,3.6666666666666665,5.0,4.924223602484472,0.22665654518991787,5.0,5.0,5.0,65.42,10.8,7.7,9.16,8.9,5.17,7.7142857142857135,6.45,61,7th and 8th grade,102.25,98.3,44.96,2.6,0.9364013293230551
76378340,76378439,0.5304878048780488,0.598314606741573,4.92206572769953,4.8835249042145605,3071,3.733333333333333,5.0,4.92206572769953,0.211111053107203,5.0,5.0,5.0,11.38,11.3,14.0,28.04,24.6,9.85,4.1875,9.29,76,9th and 10th grade,65.46,58.61,13.19,5.3,6.701161478670711
76378344,76378496,0.7215909090909091,0.8455772113943029,4.908195429472026,4.878215223097112,12856,3.8,5.0,4.908195429472025,0.1817481454924161,4.866666666666666,5.0,5.0,29.89,15.5,15.1,13.58,16.2,5.68,13.4,10.72,93,15th and 16th grade,74.05,72.88,35.57,4.4,0.26086819745053
76378323,76378505,0.5965909090909091,0.7114427860696517,4.893473193473193,4.895238095238097,2762,3.8,5.0,4.893473193473193,0.2540964686967851,4.933333333333334,5.0,5.0,48.7,11.3,10.0,15.42,15.0,9.56,5.0,9.25,90,9th and 10th grade,90.46,89.09,34.62,3.3,7.196136285585103
76378468,76378523,0.6484018264840182,0.6310861423220974,4.918397626112759,4.9018779342723,6299,3.066666666666667,5.0,4.9183976261127595,0.20923566211884292,4.933333333333334,5.0,5.0,50.12,10.1,9.4,14.37,14.3,6.45,5.0,6.56,75,9th and 10th grade,91.89,89.22,36.33,3.2,3.943336264568943
76378419,76378558,0.6518987341772152,0.704040404040404,4.913247250119561,4.9067961165048555,7065,3.8,5.0,4.913247250119561,0.23086732464116763,5.0,5.0,5.0,60.61,9.9,7.5,16.22,15.7,5.75,5.2727272727272725,5.08,55,5th and 6th grade,99.93,94.9,33.48,2.6,3.0395379274309215
76383950,76384028,0.6616161616161617,0.7752525252525253,4.908794788273617,4.885496183206105,7885,3.4,5.0,4.908794788273616,0.24176355214289952,4.933333333333334,5.0,5.0,44.24,13.7,11.7,14.45,15.1,6.13,7.5,9.1,95,13th and 14th grade,85.97,80.2,35.69,4.0,3.3875062406108354
76380624,76380646,0.6967213114754098,0.6595092024539877,4.898139534883722,4.850196078431373,9879,3.466666666666667,5.0,4.898139534883721,0.17958220581035114,4.8,5.0,5.0,15.07,14.1,14.6,22.03,21.4,5.42,12.8,6.76,61,14th and 15th grade,66.66,60.6,23.57,5.5,3.271187921375038
76380600,76380785,0.6715686274509803,0.6448398576512455,4.895290654893304,4.848661800486617,9546,2.7333333333333334,5.0,4.895290654893304,0.25384923872345694,4.933333333333334,5.0,5.0,28.94,13.2,13.4,23.02,22.8,6.1,10.333333333333334,8.15,85,12th and 13th grade,75.6,69.01,21.36,4.9,3.89638156921918
