,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.703761477161305
vocab_coverage,0.7322718858457571
ave_readability,4.929004465148837
ave_readability2,4.917454694322883
length,1004.923
min,3.9242
max,5.0
mean,4.929004465148837
std,0.18122163795303767
q1,4.958733333333334
median,5.0
q3,5.0
FRE,59.54547
SMOGI,10.902
FKGL,8.9717
CLI,11.83079
ARI,13.211
DCRS,8.59537
LWF,9.348949253524253
GFI,9.236189999999999
DW,23.68
TS,9.259
FH,97.52524
SP,94.31052000000001
GP,39.98955
CF,2.79
NERF,3.8422841918238575
