,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7092825938686804
vocab_coverage,0.7581262272787688
ave_readability,4.924339560535163
ave_readability2,4.903765099225868
length,2921.816
min,3.870203536870203
max,5.0
mean,4.924339560535163
std,0.18189251258588812
q1,4.948765432098766
median,4.9970637303970635
q3,4.9993993993994
FRE,52.048519999999996
SMOGI,11.8683
FKGL,10.7001
CLI,12.82789
ARI,14.5838
DCRS,7.29004
LWF,11.000894536672476
GFI,10.114279999999999
DW,37.371
TS,10.445
FH,91.38280999999999
SP,87.83591
GP,37.61432
CF,3.2091999999999996
NERF,3.05054880336756
