,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01923120945428087,0.04920008362699851,0.022365672800492318,0.03758919810638891
vocab_coverage,0.024940806414478645,0.06593855626637718,0.03221501862971744,0.06010637243951982
ave_readability,0.003223758206150777,0.0039688441274239065,0.00420627848184118,0.005949087684719236
ave_readability2,0.002890991277583108,0.0036385246989858342,0.003512488023398455,0.0052377853510675015
length,6412160.559,6745870.413,2412906.745,2913193.772
min,0.6177199999999992,0.808664874551971,0.3521520706042096,0.4817777777777783
max,0.0,0.0,0.0,0.0
mean,0.0032237582061507824,0.003968844127423934,0.004206278481841173,0.005949087684719261
std,0.01341267924646291,0.019694614548367902,0.010358745474104975,0.013907965982833245
q1,0.008024444444444428,0.008196684587813603,0.014030606472052596,0.012984410430839114
median,0.0008299999999999982,0.0004312275985663083,0.0037135098438560742,0.004247165532879817
q3,7.583333333333307e-05,4.6202956989246985e-05,0.0,0.002014739229024943
FRE,1949.5437657000014,2549.2585729999987,1520.6344848999984,2104.1904206999993
SMOGI,29.754080000000002,65.15830000000001,17.277150000000013,21.87626000000002
FKGL,76.41562000000005,69.27954,53.15636999999998,61.89160999999997
CLI,153.52177439999994,215.70900980000013,129.10518250000013,184.22434520000016
ARI,228.46711000000002,255.77184999999952,145.32319000000004,199.08738000000022
DCRS,10.211202200000011,10.136417599999993,8.171264399999995,10.700939099999998
LWF,76.48972497433725,84.08694352595624,58.87721925286245,54.7371910555838
GFI,57.96672240000005,36.70289000000003,30.61031600000004,31.66036660000004
DW,1021.832,1201.86,450.934,613.975
TS,74.364,43.513,44.313,44.16
FH,1115.6483747999998,1346.6917834,854.3345781000003,1128.3744335999995
SP,1165.2845196,1363.4251758999985,876.1834865000009,1166.7198701000007
GP,465.57698100000033,595.5166125999998,330.6733717000004,480.39293680000037
CF,5.5796300000000025,9.123440000000004,8.870350000000009,10.439980000000022
NERF,15.988437054056972,34.87074118140234,25.459479563617943,40.24142251940865
