,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34492325629408344,0.031927929940396484,0.2158660383923742,0.19867891674224525
vocab_coverage,0.4138761537795672,0.06800376101624171,0.22508557990443184,0.21292351480953486
ave_readability,0.33686608314781774,0.14498626890407978,0.3015875490926568,0.2852037705948122
ave_readability2,0.22128675595435005,0.11450151344024728,0.328882145489694,0.3154626607476816
length,0.20331662964776673,0.056111852808006554,0.07033438792854653,0.0755690365966585
min,0.20322299781888456,0.10666542282061989,0.31840911715973297,0.3029319876508863
max,,,,
mean,0.3369197805045026,0.14504643351644225,0.30170111787261295,0.285318792693724
std,0.3065574941034134,0.15204799501153363,0.3160060384408414,0.2988269573191919
q1,0.28843540888926944,0.11302068507465421,0.2620864394219301,0.2418883416113387
median,0.0411559627577507,-0.012796453755033271,0.07092264117886353,0.06999291021618018
q3,,,,
FRE,0.4263204037423694,0.06606834824555957,0.10746973187910086,0.09897449508412476
SMOGI,0.2745559648838505,0.0719778733300166,0.22065114227719798,0.20929871191098484
FKGL,0.3860705819541602,0.0681144868945126,0.10469445527716165,0.09738542511905626
CLI,0.47374020159782043,0.05842559715104642,0.15242228507893935,0.1397052016393744
ARI,0.3543345830642611,0.02989232123401479,0.049885269767183174,0.0472384813882916
DCRS,0.32068443730248375,0.06385699616421191,0.05430437519821999,0.052112428281429854
LWF,0.29767466008309373,0.08503678363979279,0.26715071731538853,0.25049175282656055
GFI,0.3465328274040892,0.08937067256802553,0.14430447602374363,0.12120980308760713
DW,0.2629023949241971,0.11901915383436493,0.3051287701653793,0.28432572815285334
TS,0.27388156630115695,0.05265711041633851,0.07155888190935064,0.07555250870303404
FH,0.41311665711793893,0.0642251298613635,0.10338472534014909,0.09515132171758135
SP,0.4252145247472004,0.07316043238436509,0.11128973835045304,0.10151124830354638
GP,0.44617708613284085,0.046709179479978755,0.10036712977613323,0.09260157872319075
CF,0.4466861193396672,0.0929726822441577,0.15514324668730747,0.13966878568614194
NERF,0.24555492029158502,-0.00926569085012412,0.09213830390362997,0.08358218883614588
